doc,aid,journal,year,authors,title
30,10.2307/2060458,Demography,1977,Katharine A. Frohardt-Lane,A New Technique for Measuring Preferences in Demographic Studies
31,10.2307/2060065,Demography,1966,Kurt B. Mayer,The Impact of Postwar Immigration on the Demographic and Social Structure of Switzerland
32,10.2307/2061794,Demography,1994,Karin L. Brewster,Neighborhood Context and the Transition to Sexual Activity among Young Black Women
33,10.2307/2174998,Population Studies,1991,Jon Anson,Model Mortality Patterns: A Parametric Evaluation
34,10.2307/2061728,Demography,1992,Leslie A. Whittington,Taxes and the Family: The Impact of the Tax Exemption for Dependents on Marital Fertility
35,10.2307/2061752,Demography,1994,Ansley J. Coale,Five Decades of Missing Females in China
36,10.2307/2175225,Population Studies,1993,Timothy B. Gage,The Decline of Mortality in England and Wales 1861 to 1964: Decomposition by Cause of Death and Component of Mortality
37,10.2307/3004018,Demography,1998,Martin Watts,The Analysis of Sex Segregation: When is Index Measurement Not Index Measurement?
38,10.2307/2060475,Demography,1974,Mo-Im Kim,Age at Marriage_ Family Planning Practices_ and other Variables as Correlates of Fertility in Korea
39,10.2307/3088361,Demography,2002,Narayan Sastry,Forest Fires_ Air Pollution_ and Mortality in Southeast Asia
40,10.2307/2060375,Demography,1967,James N. Morgan,A Note on the Time Spent on the Journey to Work
41,10.2307/3401496,Population and Development Review,2004,John Bongaarts,Population Aging and the Rising Cost of Public Pensions
42,10.2307/40646421,Population Studies,2009,John Bongaarts,<b>Trends in senescent life expectancy</b>
43,10.2307/3004047,Demography,1998,Judith A. Seltzer,Father by Law: Effects of Joint Legal Custody on Nonresident Fathers' Involvement with Children
44,10.2307/2137386,Population and Development Review,1997,John Knodel,A Case for Nonanthropological Qualitative Methods for Demographers
45,10.2307/2175124,Population Studies,1993,Sumit Guha,Nutrition_ Sanitation_ Hygiene_ and the Likelihood of Death: The British Army in India c. 1870-1920
46,10.2307/2061381,Demography,1990,Linda B. Williams,The Changing Influence of Religion on U.S. Fertility: Evidence From Rhode Island
47,10.2307/2060240,Demography,1970,Eduardo E. Arriaga,The Nature and Effects of Latin America's Non-Western Trend in Fertility
48,10.2307/3092737,Population and Development Review,2003,,Ansley J. Coale on Increases in Expectation of Life and Population Growth
49,10.2307/2174609,Population Studies,1990,Francois Nault,Effects of Reproductive Behaviour on Infant Mortality of French-Canadians during the Seventeenth and Eighteenth Centuries
50,10.2307/2061833,Demography,1993,Daniel M. Goodkind,New Zodiacal Influences on Chinese Family Formation: Taiwan_ 1976
51,10.2307/2174305,Population Studies,1990,Ludmila Fialova,Fertility Decline in Czechoslovakia During the Last Two Centuries
52,10.2307/2173265,Population Studies,1970,Christopher Scott,The Historical Calendar as a Method of Estimating age: The Experience of the Moroccan Multi-Purpose Sample Survey of 1961-63
53,10.2307/2584634,Population Studies,2000,Susan Scott,Interacting Effects of Nutrition and Social Class Differentials on Fertility and Infant Mortality in a Pre-Industrial Population
54,10.2307/2061318,Demography,1988,Lawrence L. Santi,The Demographic Context of Recent Change in the Structure of American Households
55,10.2307/2648109,Demography,1999,Deborah Roempke Graefe,Life Course Transitions of American Children: Parental Cohabitation_ Marriage_ and Single Motherhood
56,10.2307/2060079,Demography,1966,Conrad Taeuber,Self-Enumeration as a Census Method
57,10.2307/1972141,Population and Development Review,1987,The US Council of Economic Advisers,The US Council of Economic Advisers on Risk and Responsibility
58,10.2307/2172127,Population Studies,1948,J. R. H. Shaul,A Sample Survey of the African Population of Southern Rhodesia
59,10.2307/2060791,Demography,1977,Douglas S. Massey,The Size-Density Hypothesis in Great Britain: Analysis of a Deviant Case
60,10.2307/2060503,Demography,1976,J. Richard Udry,The Effect of Subsidized Family Planning Services on Reproductive Behavior in the United States_ 1969-1974
61,10.2307/2648098,Demography,2000,Theodore J. Joyce,The Effect of Pregnancy Intention on Child Development
62,10.2307/2174359,Population Studies,1984,S. P. Morgan,Household Structure and the Tempo of Family Formation in Comparative Perspective
63,10.2307/2060433,Demography,1974,Ira Rosenwaike,Legal Abortion and Fertility in Maryland_ 1960-1971
64,10.2307/2060244,Demography,1968,Oscar Harkavy,An Overview of the Ford Foundation's Strategy for Population Work
65,10.2307/1972893,Population and Development Review,1983,Dennis Hodgson,Demography as Social Science and Policy Science
66,10.2307/2172512,Population Studies,1957,L. B. Brown,Applicants for Assisted Migration from the United Kingdom to New Zealand
67,10.2307/1972495,Population and Development Review,1982,[Annelise G. Anderson],Quotations
68,10.2307/2172296,Population Studies,1950,T. van den Brink,Birth Rate Trends and Changes in Marital Fertility in the Netherlands after 1937
69,10.2307/2061908,Demography,1994,William G. Axinn,Family Influences on Family Size Preferences
70,10.2307/1972756,Population and Development Review,1980,[Willy Brandt],The Brandt Commission's Findings on Population
71,10.2307/2060256,Demography,1968,Enver Adil,Measurement of Family Planning Progress in Pakistan
72,10.2307/2173047,Population Studies,1970,J. W. Nixon,Size and Structure of the Household in England Over Three Centuries: A Comment
73,10.2307/2061912,Demography,1994,Nancy S. Landale,Migration and the Latino Family: The Union Formation Behavior of Puerto Rican Women
74,10.2307/2938456,Population and Development Review,1993,,US International Population Policy: An Official Statement
75,10.2307/2061096,Demography,1981,James M. Sakoda,A Generalized Index of Dissimilarity
76,10.2307/2060747,Demography,1973,Monica Boyd,Occupational Mobility and Fertility in Metropolitan Latin America
77,10.2307/2061448,Demography,1990,Kenneth M. Weiss,The Biodemography of Variation in Human Frailty
78,10.2307/2174893,Population Studies,1994,Cynthia B. Lloyd,High Fertility and Children's Schooling in Ghana: Sex Differences in Parental Contributions and Educational Outcomes
79,10.2307/2060834,Demography,1975,Allan G. Hill,The Demography of the Kuwaiti Population of Kuwait
80,10.2307/172322,Population and Development Review,2000,Dudley Kirk,Dudley Kirk on Population Changes and Prospective Power Relations after World War II: A View from 1943
81,10.2307/1972124,Population and Development Review,1987,Paul Demeny,Re-Linking Fertility Behavior and Economic Security in Old Age: A Pronatalist Reform
82,10.2307/1973733,Population and Development Review,1991,Allen C. Kelley,The Human Development Index: "Handle with Care"
83,10.2307/4148248,Population Studies,2004,Francesco Billari,Discussion of Paper 'Explanations of the Fertility Crisis in Modern Societies: A Search for Commonalities'_ "Population Studies" 57(3): 241-263_ by John Caldwell and Thomas Schindlmayr
84,10.2307/172372,Population and Development Review,1999,John C. Caldwell,The Bangladesh Fertility Decline: An Interpretation
85,10.2307/2061613,Demography,1986,Julie DaVanzo,Infant Mortality Decline in Malaysia_ 1946-1975: The Roles of Changes in Variables and Changes in the Structure of Relationships
86,10.2307/2807966,Population and Development Review,1984,Julie DaVanzo,A Household Survey of Child Mortality Determinants in Malaysia
87,10.2307/1972346,Population and Development Review,1979,[Robert Lapham],Approaches to Persuasion: Broadcasts from India and China
88,10.2307/25749196,Population and Development Review,2010,David Coleman,Projections of the Ethnic Minority Populations of the United Kingdom 2006–2056
89,10.2307/40983073,Demography,2010,CHENOA A. FLIPPEN,THE SPATIAL DYNAMICS OF STRATIFICATION: METROPOLITAN CONTEXT_ POPULATION REDISTRIBUTION_ AND BLACK AND HISPANIC HOMEOWNERSHIP
90,10.2307/2173425,Population Studies,1975,Christabel M. Young,Factors Associated with the Timing and Duration of the Leaving-Home Stage of the Family Life Cycle
91,10.2307/2137629,Population and Development Review,1994,Lant H. Pritchett,Desired Fertility and the Impact of Population Policies
92,10.2307/2172584,Population Studies,1964,B. Benjamin,The Urban Background to Public Health Changes in England and Wales_ 1900-50
93,10.2307/2172861,Population Studies,1962,Yoshio Koya,Lessons from Contraceptive Failure
94,10.2307/1973050,Population and Development Review,1983,Ellen Jones,Infant Mortality Trends in the Soviet Union
95,10.2307/2061085,Demography,1979,James Trussell,A Close Look at the Demography of Afghanistan
96,10.2307/2061514,Demography,1987,Fred Arnold,The Effect of Sex Preference on Fertility: A Reply to Bairagi
97,10.2307/2173422,Population Studies,1975,D. Peter Mazur,Social and Demographic Determinants of Abortion in Poland
98,10.2307/2584701,Population Studies,1999,David I. Kertzer,Childhood Mortality and Quality of Care among Abandoned Children in Nineteenth-Century Italy
99,10.2307/2172332,Population Studies,1948,Josiah Cox Russell,Demographic Pattern in History
100,10.2307/2061392,Demography,1987,Karen Oppenheim Mason,Sources of Age and Date-of-Birth Misreporting in the 1900 U.S. Census
101,10.2307/1973404,Population and Development Review,1989,Barbara B. Crane,The United States_ China_ and the United Nations Population Fund: Dynamics of US Policymaking
102,10.2307/40800838,Demography,2010,STEFFEN REINHOLD,REASSESSING THE LINK BETWEEN PREMARITAL COHABITATION AND MARITAL INSTABILITY
103,10.2307/4147334,Demography,2005,Joseph Lee Rodgers,Did Fertility Go up after the Oklahoma City Bombing? An Analysis of Births in Metropolitan Counties in Oklahoma_ 1990-1999
104,10.2307/40800821,Demography,2010,JAN VAN BAVEL,CHOICE OF STUDY DISCIPLINE AND THE POSTPONEMENT OF MOTHERHOOD IN EUROPE: THE IMPACT OF EXPECTED EARNINGS_ GENDER COMPOSITION_ AND FAMILY ATTITUDES
105,10.2307/2174357,Population Studies,1984,H. I. Goldberg,Infant Mortality and Breast-Feeding in North-Eastern Brazil
106,10.2307/2061390,Demography,1987,Dudley L. Poston_ Jr.,Socioeconomic Development_ Family Planning_ and Fertility in China
107,10.2307/2061777,Demography,1996,Douglas S. Massey,Response to Danziger_ Farley_ and Hout et al
108,10.2307/1973598,Population and Development Review,1991,Vaclav Smil,Population Growth and Nitrogen: An Exploration of a Critical Existential Link
109,10.2307/3401537,Population and Development Review,2005,,Report of the Global Commission on International Migration
110,10.2307/2060977,Demography,1982,George B. Simmons,Post-Neonatal Mortality in Rural India: Implications of an Economic Model
111,10.2307/2060169,Demography,1966,Mindel C. Sheps,Contributions of Nationality Models to Program Planning and Evaluation
112,10.2307/2173510,Population Studies,1975,P. Neal Ritchey,The Effect of Minority Group Status on Fertility: A Re-examination of Concepts
113,10.2307/1515200,Demography,2003,Robert Schoen,Modeling Momentum in Gradual Demographic Transitions
114,10.2307/25476012,Demography,2009,Francesca Mazzolari,Dual Citizenship Rights: Do They Make More and Richer Citizens?
115,10.2307/40800830,Demography,2010,RICHARD G. ROGERS,SOCIAL_ BEHAVIORAL_ AND BIOLOGICAL FACTORS_ AND SEX DIFFERENCES IN MORTALITY
116,10.2307/1971727,Population and Development Review,1978,John C. Caldwell,A Theory of Fertility: From High Plateau to Destabilization
117,10.2307/3401404,Population and Development Review,2004,,The World Commission on the Social Dimension of Globalization: On the Cross-Border Movement of People
118,10.2307/2060471,Demography,1974,Ronald Lee,The Formal Dynamics of Controlled Populations and the Echo_ the Boom and the Bust
119,10.2307/40646373,Population Studies,2009,Arieke J. Rijken,<b>Influences of the family of origin on the timing and quantum of fertility in the Netherlands</b>
120,10.2307/2061882,Demography,1994,Ann K. Blanc,The Demographic Transition in Southern Africa: Yet Another Look at the Evidence from Botswana and Zimbabwe
121,10.2307/2061540,Demography,1988,Karen C. Holden,The Timing of Falls Into Poverty After Retirement and Widowhood
122,10.2307/1515158,Demography,2003,Lisa A. Keister,Sharing the Wealth: The Effect of Siblings on Adults' Wealth Ownership
123,10.2307/2061188,Demography,1982,J. Dennis Willigan,A Macrosimulation Approach to the Investigation of Natural Fertility
124,10.2307/2060505,Demography,1976,Kathleen Ford,Abortion and Family-Building Models: Fertility Limitation in Hungary
125,10.2307/2172945,Population Studies,1964,Alexander L. Clark,The Accuracy of Husbands' and Wives' Reports of the Frequency of Marital Coitus
126,10.2307/2137546,Population and Development Review,1997,Matthew Higgins,Age Structure Dynamics in Asia and Dependence on Foreign Capital
127,10.2307/1973491,Population and Development Review,1985,Giovanni Botero,Giovanni Botero on the Forces Governing Population Growth
128,10.2307/2060020,Demography,1970,John D. Allingham,The End of Rapid Increase in the Use of Oral Anovulants? Some Problems in the Interpretation of Time Series of Oral Use Among Married Women
129,10.2307/1973750,Population and Development Review,1991,[The United Nations Development Programme],The "Antalya Statement" on Global Development
130,10.2307/2060662,Demography,1972,,Printer's Error
131,10.2307/1972410,Population and Development Review,1980,Geoffrey McNicoll,Institutional Determinants of Fertility Change
132,10.2307/2172654,Population Studies,1970,Brendan M. Walsh,A Study of Irish County Marriage Rates_ 1961-1966
133,10.2307/2172137,Population Studies,1950,C. H. Harvie,A Sampling Census in the Sudan
134,10.2307/172373,Population and Development Review,1999,Deon Filmer,The Effect of Household Wealth on Educational Attainment: Evidence from 35 Countries
135,10.2307/2174160,Population Studies,1982,J. M. Tuladhar,Differential Fertility in Rural Nepal
136,10.2307/2172041,Population Studies,1960,Irene B. Taeuber,Japan's Demographic Transition Re-examined
137,10.2307/3092866,Population Studies,2001,Patrick Lusyne,Mortality Following Conjugal Bereavement_ Belgium 1991-96: The Unexpected Effect of Education
138,10.2307/3088318,Demography,2001,Diane S. Lauderdale,Education and Survival: Birth Cohort_ Period_ and Age Effects
139,10.2307/25434587,Population and Development Review,2007,Gu Baochang,China's Local and National Fertility Policies at the End of the Twentieth Century
140,10.2307/2807938,Population and Development Review,1994,Joseph Chamie,Trends_ Variations_ and Contradictions in National Policies to Influence Fertility
141,10.2307/2173747,Population Studies,1976,N. F. R. Crafts,A Simulation of the Impact of Changes in Age at Marriage Before and During the Advent of Industrialization in England
142,10.2307/25749226,Population and Development Review,2010,Mikko Myrskylä,The Relative Effects of Shocks in Early- and Later-Life Conditions on Mortality
143,10.2307/27643365,Population Studies,2006,L. S. Hurt,The Effect of Number of Births on Women's Mortality: Systematic Review of the Evidence for Women Who Have Completed Their Childbearing
144,10.2307/20616476,Demography,2009,Becky Pettit,Employment Gains and Wage Declines: The Erosion of Black Women's Relative Wages since 1980
145,10.2307/30053125,Demography,2007,Thomas W. McDade,What a Drop Can Do: Dried Blood Spots as a Minimally Invasive Method for Integrating Biomarkers into Population-Based Research
146,10.2307/1972826,Population and Development Review,1981,,The Ottawa Summit Conference
147,10.2307/2061303,Demography,1987,Bashir Ahmed,Determinants of Contraceptive Use in Rural Bangladesh: The Demand for Children_ Supply of Children_ and Costs of Fertility Regulation
148,10.2307/3401355,Population and Development Review,2003,James W. Vaupel,Post-Darwinian Longevity
149,10.2307/2172675,Population Studies,1967,Robert G. Potter_ Jr.,Family Planning and Fecundity
150,10.2307/25434607,Population and Development Review,2007,Rodrigo R. Soares,On the Determinants of Mortality Reductions in the Developing World
151,10.2307/2061506,Demography,1987,Lorenzo Moreno-Navarro,Fertility Change in Five Latin American Countries: A Covariance Analysis of Birth Intervals
152,10.2307/2808121,Population and Development Review,1998,Caroline Bledsoe,Reproductive Mishaps and Western Contraception: An African Challenge to Fertility Theory
153,10.2307/2175071,Population Studies,1997,Omondi-Odhiambo,Men's Participation in Family Planning Decisions in Kenya
154,10.2307/2174938,Population Studies,1981,D. P. Smith,A Reconsideration of Easterlin Cycles
155,10.2307/2061342,Demography,1991,Ira Rosenwaike,Using Surname Data in U.S. Puerto Rican Mortality Analysis
156,10.2307/1972965,Population and Development Review,1990,Jan M. Hoem,Social Policy and Recent Fertility Change in Sweden
157,10.2307/40646334,Population Studies,2009,Torkild Hovde Lyngstad,<b>The influence of offspring's sex and age at parents' divorce on the intergenerational transmission of divorce_ Norwegian first marriages 1980-2003</b>
158,10.2307/2174284,Population Studies,1986,A. J. Mercer,Relative Trends in Mortality from Related Respiratory and Airborne Infectious Diseases
159,10.2307/2137455,Population and Development Review,1996,,The Supreme Court on the Adjustment of the US Census
160,10.2307/2174585,Population Studies,1986,Walter R. Gilks,The Relationship between Birth History and Current Fertility in Developing Countries
161,10.2307/2648095,Demography,2000,Arthur Sakamoto,The Declining Significance of Race among American Men during the Latter Half of the Twentieth Century
162,10.2307/27643368,Population Studies,2006,Jean-Marie Robine,Differentials in the Femininity Ratio among Centenarians: Variations between Northern and Southern Italy from 1870
163,10.2307/2695158,Population and Development Review,2001,Chris Wilson,On the Scale of Global Demographic Convergence 1950-2000
164,10.2307/172316,Population and Development Review,2000,Cynthia B. Lloyd,The Spread of Primary Schooling in Sub-Saharan Africa: Implications for Fertility Change
165,10.2307/2137808,Population and Development Review,1996,William H. Frey,Immigration_ Domestic Migration_ and Demographic Balkanization in America: New Evidence for the 1990s
166,10.2307/40983114,Demography,2010,ANNE CASE,CAUSES AND CONSEQUENCES OF EARLY-LIFE HEALTH
167,10.2307/2172491,Population Studies,1949,H. Gille,The Demographic History of the Northern European Countries in the Eighteenth Century
168,10.2307/3088315,Demography,2001,Emmanuelle Cambois,Social Inequalities in Disability-Free Life Expectancy in the French Male Population_ 1980-1991
169,10.2307/2174075,Population Studies,1984,Gigi Santow,Child Death and Time to the Next Birth in Central Java
170,10.2307/2137630,Population and Development Review,1994,S. Jay Olshansky,Demographic Perspectives on Human Senescence
171,10.2307/2060843,Demography,1973,Hugh Loebner,Differential Fertility in Central India: A Path Analysis
172,10.2307/2173565,Population Studies,1978,Michael R. Haines,Fertility Decline in Industrial America: An Analysis of the Pennsylvania Anthracite Region_ 1850-1900_ Using `Own Children' Methods
173,10.2307/2172233,Population Studies,1951,Colin Clark,Regional Differences in Reproductivity in England and Wales
174,10.2307/2172674,Population Studies,1967,P. E. Treffers,Abortion in Amsterdam
175,10.2307/2061505,Demography,1987,Arland Thornton,The Influence of Individual and Historical Time on Marital Dissolution
176,10.2307/2174382,Population Studies,1983,S. H. Preston,A Census-based Method for Estimating Adult Mortality
177,10.2307/2174997,Population Studies,1991,Kenneth W. Wachter,Elusive Cycles: Are there Dynamically Possible Lee-Easterlin Models for U.S Births?
178,10.2307/40800831,Demography,2010,LEI JIN,PRELIMINARY EVIDENCE REGARDING THE HYPOTHESIS THAT THE SEX RATIO AT SEXUAL MATURITY MAY AFFECT LONGEVITY IN MEN
179,10.2307/2061577,Demography,1990,Kazuo Yamaguchi,Reproductive Stopping Rules and Lexian Variation: Reply
180,10.2307/2137667,Population and Development Review,1994,Thomas J. Espenshade,Does the Threat of Border Apprehension Deter Undocumented US Immigration?
181,10.2307/2173798,Population Studies,1974,Brian L. Pitcher,Residency Differentials in Mormon Fertility
182,10.2307/1973409,Population and Development Review,1989,[Charles Darwin],Darwin on the Struggle for Existence
183,10.2307/3092962,Population Studies,2001,Zhongwei Zhao,Chinese Genealogies as a Source for Demographic Research: A Further Assessment of Their Reliability and Biases
184,10.2307/1972694,Population and Development Review,1982,Nigel Crook,Urbanization in India: Results of the 1981 Census
185,10.2307/1971620,Population and Development Review,1976,Harvey Leibenstein,The Problem of Characterizing Aspirations
186,10.2307/1973288,Population and Development Review,1984,Daniel R. Vining_ Jr.,Family Salaries and the East German Birth Rate: A Comment
187,10.2307/3180813,Demography,2003,James M. Raymo,Educational Attainment and the Transition to First Marriage among Japanese Women
188,10.2307/40646369,Population Studies,2009,Cheng Huang,<b>Mortality of the oldest old Chinese: The role of early-life nutritional status_ socio-economic conditions_ and sibling sex-composition</b>
189,10.2307/3401521,Population and Development Review,2005,Cassio M. Turra,Determinants of Mortality at Older Ages: The Role of Biological Markers of Chronic Disease
190,10.2307/2172213,Population Studies,1958,Jerzy Zubrzycki,The Role of the Foreign-Language Press in Migrant Integration
191,10.2307/40800814,Demography,2010,VLADIMIR CANUDAS-ROMO,THREE MEASURES OF LONGEVITY: TIME TRENDS AND RECORD VALUES
192,10.2307/2061244,Demography,1983,Ralph R. Sell,Analyzing Migration Decisions: The First Step--Whose Decisions?
193,10.2307/3401514,Population and Development Review,2004,,Kofi Annan on an Immigration Strategy for Europe
194,10.2307/1972411,Population and Development Review,1980,Francine van de Walle,Education and the Demographic Transition in Switzerland
195,10.2307/1973461,Population and Development Review,1985,Zeng Yi,Marriage and Fertility in China: A Graphical Analysis
196,10.2307/2061592,Demography,1985,Goran Brostrom,Practical Aspects on the Estimation of the Parameters in Coale's Model for Marital Fertility
197,10.2307/2060185,Demography,1966,Mohammed Aslam,Abridged Life Tables for Pakistan and Provinces: 1962
198,10.2307/2807921,Population and Development Review,1989,Ester Boserup,Population_ the Status of Women_ and Rural Development
199,10.2307/4137260,Demography,2007,Jason M. Fletcher,Social Multipliers in Sexual Initiation Decisions among U.S. High School Students
200,10.2307/2060751,Demography,1973,Campbell Gibson,Urbanization in New Zealand: A Comparative Analysis
201,10.2307/2174055,Population Studies,1982,A. T. Flegg,Inequality of Income_ Illiteracy and Medical Care as Determinants of Infant Mortality in Underdeveloped Countries
202,10.2307/2173920,Population Studies,1977,K. Hill,Further Developments in Indirect Mortality Estimation
203,10.2307/1972083,Population and Development Review,1979,Paul Demeny,On the End of the Population Explosion: A Rejoinder
204,10.2307/1972473,Population and Development Review,1982,Gavin W. Jones,Population Trends and Policies in Vietnam
205,10.2307/2061104,Demography,1980,Fjalar Finnas,Starting Age and Subsequent Birth Intervals in Cohabitational Unions in Current Danish Cohorts_ 1975
206,10.2307/2648139,Demography,1999,Michael S. Rendall,Incomplete Reporting of Men's Fertility in the United States and Britain: A Research Note
207,10.2307/2061671,Demography,1995,Wendy D. Manning,Why Marry? Race and the Transition to Marriage among Cohabitors
208,10.2307/2137388,Population and Development Review,1997,,Polybius on Fertility Control in Ancient Greece
209,10.2307/3088302,Demography,2001,Tim Miller,Increasing Longevity and Medicare Expenditures
210,10.2307/2174702,Population Studies,1992,Charles W. Warren,The Determinants of Fertility in Swaziland
211,10.2307/2061079,Demography,1979,Robert D. Mare,Social Background Composition and Educational Growth
212,10.2307/2061905,Demography,1994,Timothy W. Guinnane,What Do We Know About the Timing of Fertility Transitions in Europe?
213,10.2307/4147336,Demography,2005,J. Timothy Gronniger,Familial Obesity as a Proxy for Omitted Variables in the Obesity-Mortality Relationship
214,10.2307/1972018,Population and Development Review,1976,Lester R. Brown,The Urban Prospect: Reexamining the Basic Assumptions
215,10.2307/2174402,Population Studies,1988,Mark R. Montgomery,Rates of Courtship and First Marriage in Thailand
216,10.2307/30053086,Demography,2008,Carolyn A. Liebler,A Practical Approach to Using Multiple-Race Response Data: A Bridging Method for Public-Use Microdata
217,10.2307/3401386,Population and Development Review,2004,Vinod Mishra,Sex Differentials in Childhood Feeding_ Health Care_ and Nutritional Status in India
218,10.2307/2061761,Demography,1996,Ronald R. Rindfuss,Education and the Changing Age Pattern of American Fertility: 1963-1989
219,10.2307/2171973,Population Studies,1959,N. H. Carrier,The Reduction of Errors in Census Populations for Statistically Underdeveloped Countries
220,10.2307/25651495,Demography,2010,KATHLEEN BEEGLE,ORPHANHOOD AND HUMAN CAPITAL DESTRUCTION: IS THERE PERSISTENCE INTO ADULTHOOD?
221,10.2307/2174009,Population Studies,1989,David Sven Reher,Marital Fertility and its Determinants in Rural and in Urban Spain_ 1887- 1930
222,10.2307/1973656,Population and Development Review,1992,Nicholas Eberstadt,Divided Korea: Demographic and Socioeconomic Issues for Reunification
223,10.2307/1973220,Population and Development Review,1986,Susan Greenhalgh,Shifts in China's Population Policy_ 1984-86: Views from the Central_ Provincial_ and Local Levels
224,10.2307/1972005,Population and Development Review,1979,,The Colombo Declaration on Population and Development
225,10.2307/27643431,Population Studies,2007,Fanny Janssen,The Choice among past Trends as a Basis for the Prediction of Future Trends in Old-Age Mortality
226,10.2307/2173509,Population Studies,1975,Samuel H. Preston,The Changing Relation between Mortality and Level of Economic Development
227,10.2307/30040453,Population Studies,2005,Robert Woods,The Measurement of Historical Trends in Fetal Mortality in England and Wales
228,10.2307/2061881,Demography,1994,Duncan Thomas,The Demographic Transition in Southern Africa: Another Look at the Evidence from Botswana and Zimbabwe
229,10.2307/2137660,Population and Development Review,1994,Douglas S. Massey,An Evaluation of International Migration Theory: The North American Case
230,10.2307/1972551,Population and Development Review,1990,[President's Council of Economic Advisers],The US Council of Economic Advisers on Labor Shortages_ Worker Mobility_ and Immigration
231,10.2307/3088371,Demography,2002,Ted Joyce,On the Validity of Retrospective Assessments of Pregnancy Intention
232,10.2307/2061082,Demography,1979,Jane Menken,Seasonal Migration and Seasonal Variation in Fecundability: Effects on Birth Rates and Birth Intervals
233,10.2307/2060610,Demography,1971,Sidney Goldstein,Urbanization in Thailand_ 1947-1967
234,10.2307/2060118,Demography,1965,Nathan Keyfitz,On the Interaction of Populations
235,10.2307/2173106,Population Studies,1964,,General Conclusions
236,10.2307/172418,Population and Development Review,2000,,Globalization and Inequality: A Norwegian Report
237,10.2307/25434589,Population and Development Review,2007,,Adam Ferguson on Population and Wealth
238,10.2307/2172185,Population Studies,1958,H. Hyrenius,Fertility and Reproduction in a Swedish Population Group without Family Limitation
239,10.2307/2060206,Demography,1968,Wilson H. Grabill,Recent Trends in Childspacing Among American Women
