source,target,scount,tcount,sfield,tfield,sabbrev,tabbrev,weight
Demography,Social Forces,24,80,demography,sociology,Demography,Social Forces,6
Biometrics,Population Studies,5,165,eugenics,demography,Biometrics,Pop. Studies,2
Biometrics,Demography,5,24,eugenics,demography,Biometrics,Demography,1
Milbank Quarterly,Studies in Family Planning,117,18,pubh,famplan,Milbank,Studies in FP,1
Population Studies,Social Forces,165,80,demography,sociology,Pop. Studies,Social Forces,2
Genus,Population Studies,5,165,eugenics,demography,Genus,Pop. Studies,1
American Journal of Sociology,Genus,51,5,sociology,eugenics,AJS,Genus,2
Genus,Social Forces,5,80,eugenics,sociology,Genus,Social Forces,1
American Sociological Review,Public Health Reports,109,108,sociology,pubh,ASR,PHR,5
AAAPSS,Marriage and Family Living,38,60,general,eugenics,AAAPSS,Fam. Living,3
AAAPSS,Public Health Reports,38,108,general,pubh,AAAPSS,PHR,1
American Journal of Sociology,Economic Development and Cultural Change,51,43,sociology,economics,AJS,Econ. Dev.,2
American Journal of Sociology,Science,51,15,sociology,general,AJS,Science,1
Economic Development and Cultural Change,J. of the American Statistical Association,43,44,economics,statistics,Econ. Dev.,JASA,3
J. of the American Statistical Association,Science,44,15,statistics,general,JASA,Science,1
Demography,J. of the American Statistical Association,24,44,demography,statistics,Demography,JASA,3
Population Index,Social Forces,52,80,demography,sociology,Pop. Index,Social Forces,2
Demography,Population Index,24,52,demography,demography,Demography,Pop. Index,6
J. of the American Statistical Association,Public Health Reports,44,108,statistics,pubh,JASA,PHR,3
Milbank Quarterly,Social Forces,117,80,pubh,sociology,Milbank,Social Forces,6
American Sociological Review,Economic Development and Cultural Change,109,43,sociology,economics,ASR,Econ. Dev.,2
Human Biology,Milbank Quarterly,30,117,eugenics,pubh,Human Biology,Milbank,3
American Sociological Review,Journal of Economic History,109,12,sociology,history,ASR,JEH,2
Journal of Economic History,Social Forces,12,80,history,sociology,JEH,Social Forces,2
American Journal of Sociology,Journal of Economic History,51,12,sociology,history,AJS,JEH,1
J. of the American Statistical Association,Journal of Economic History,44,12,statistics,history,JASA,JEH,1
Economic Development and Cultural Change,Milbank Quarterly,43,117,economics,pubh,Econ. Dev.,Milbank,4
American Economic Review,American Journal of Sociology,29,51,economics,sociology,AER,AJS,2
American Economic Review,Milbank Quarterly,29,117,economics,pubh,AER,Milbank,1
Economic Development and Cultural Change,Public Health Reports,43,108,economics,pubh,Econ. Dev.,PHR,1
Public Health Reports,Social Forces,108,80,pubh,sociology,PHR,Social Forces,1
Economic Development and Cultural Change,Social Forces,43,80,economics,sociology,Econ. Dev.,Social Forces,1
Human Biology,Population Studies,30,165,eugenics,demography,Human Biology,Pop. Studies,2
Marriage and Family Living,Studies in Family Planning,60,18,eugenics,famplan,Fam. Living,Studies in FP,2
AAAPSS,Population Index,38,52,general,demography,AAAPSS,Pop. Index,3
American Sociological Review,Human Biology,109,30,sociology,eugenics,ASR,Human Biology,1
Human Biology,Marriage and Family Living,30,60,eugenics,eugenics,Human Biology,Fam. Living,1
Demography,Human Biology,24,30,demography,eugenics,Demography,Human Biology,2
Demography,Marriage and Family Living,24,60,demography,eugenics,Demography,Fam. Living,2
Population Studies,Studies in Family Planning,165,18,demography,famplan,Pop. Studies,Studies in FP,1
Biometrics,Public Health Reports,5,108,eugenics,pubh,Biometrics,PHR,2
Economic History Review,Population Studies,10,165,history,demography,EHR,Pop. Studies,1
American Journal of Sociology,Public Health Reports,51,108,sociology,pubh,AJS,PHR,1
Population Index,Public Health Reports,52,108,demography,pubh,Pop. Index,PHR,1
Demography,Public Health Reports,24,108,demography,pubh,Demography,PHR,1
Demography,Studies in Family Planning,24,18,demography,famplan,Demography,Studies in FP,1
American Journal of Sociology,Human Biology,51,30,sociology,eugenics,AJS,Human Biology,1
American Sociological Review,Economic Geography,109,13,sociology,geography,ASR,Econ. Geo.,1
American Journal of Sociology,Economic Geography,51,13,sociology,geography,AJS,Econ. Geo.,1
AAAPSS,Demography,38,24,general,demography,AAAPSS,Demography,1
Economic Development and Cultural Change,Population Index,43,52,economics,demography,Econ. Dev.,Pop. Index,1
Human Biology,Public Health Reports,30,108,eugenics,pubh,Human Biology,PHR,1
Human Biology,J. of the American Statistical Association,30,44,eugenics,statistics,Human Biology,JASA,1
