source,target,scount,tcount,sfield,tfield,slast,tlast,weight
J. Dennis Willigan,Katherine A. Lynch,2,1,demography,demography,,,1
H. I. Goldberg,W. Rodrigues,1,1,demography,demography,,,1
A. M. T. Thome,W. Rodrigues,1,1,demography,demography,,,1
Barbara Janowitz,W. Rodrigues,4,1,demography,demography,,,1
L. Morris,W. Rodrigues,1,1,demography,demography,,,1
Ellen Sullivan,Jacqueline Darroch Forrest,2,9,famplan,demography,,,2
Christopher Tietze,Ellen Sullivan,20,2,famplan,famplan,,,2
Ellen Sullivan,Stanley K. Henshaw,2,8,famplan,famplan,,,1
Gordon F. De Jong,James T. Fawcett,3,3,general,demography,,,1
James T. Fawcett,Ricardo G. Abad,3,1,demography,demography,,,1
Fred Arnold,James T. Fawcett,3,3,demography,demography,,,1
Benjamin V. Carino,James T. Fawcett,1,3,demography,demography,,,1
James T. Fawcett,Robert W. Gardner,3,2,demography,demography,,,1
James T. Fawcett,Siew-Ean Khoo,3,5,demography,demography,,,2
James T. Fawcett,Peter C. Smith,3,2,demography,demography,,,1
Charles Hirschman,Dorothy Fernandez,14,4,sociology,economics,Hirschman,,1
Dorothy Fernandez,Lolagene C. Coombs,4,12,economics,famplan,,,1
Amos H. Hawley,Dorothy Fernandez,1,4,economics,economics,Hawley,,1
Dorothy Fernandez,Harbans Singh,4,1,economics,economics,,,1
Dorothy Fernandez,J. T. Johnson,4,1,economics,demography,,,1
Dorothy Fernandez,R. Chander,4,1,economics,demography,,,1
Dorothy Fernandez,N. L. Aziz,4,1,economics,demography,,,1
B. A. Tan,Dorothy Fernandez,1,4,demography,economics,,,1
Dorothy Fernandez,H. Bond,4,1,economics,demography,,,1
Dorothy Fernandez,L. Corsa,4,1,economics,demography,,,1
Aida Torres,Jacqueline Darroch Forrest,8,9,famplan,demography,,,3
Aida Torres,Susan Eisman,8,3,famplan,famplan,,,3
Aida Torres,Asta M. Kenney,8,1,famplan,famplan,,,1
Aida Torres,Jacqueline D. Forrest,8,3,famplan,famplan,,,2
Aida Torres,Mary Chamie,8,4,famplan,demography,,,1
Aida Torres,Margaret Terry Orr,8,2,famplan,famplan,,,1
Gerry E. Hendershot,Sara R. Millman,10,1,famplan,famplan,,,1
Kingsley Davis,Pietronella Van Den Oever,5,2,demography,demography,Davis,,2
Karen Oppenheim Mason,Larry L. Bumpass,3,7,demography,famplan,Mason,Bumpass,1
Larry L. Bumpass,Nancy J. Davis,7,1,famplan,demography,Bumpass,,1
Larry L. Bumpass,Ronald R. Rindfuss,7,21,famplan,sociology,Bumpass,Rindfuss,4
Larry L. Bumpass,Richard B. Janosik,7,1,famplan,demography,Bumpass,,1
Craig St. John,Larry L. Bumpass,6,7,sociology,famplan,,Bumpass,1
John N. Koffel,Robert M. Hauser,2,4,sociology,demography,,,2
Harry P. Travis,John N. Koffel,2,2,sociology,sociology,,,2
John N. Koffel,Peter J. Dickinson,2,2,sociology,sociology,,,2
James Mccarthy,Miguel Gomez Barrantes,8,2,demography,famplan,,,2
Miguel Gomez Barrantes,Nancy Yinger,2,1,famplan,famplan,,,1
Charles W. Warren,Jerald Bailey,4,5,pubh,famplan,,,1
Charles W. Warren,Ricardo Aparicio Jimenez,4,1,pubh,famplan,,,1
Charles W. Warren,Roger W. Rochat,4,7,pubh,pubh,,,3
Charles W. Warren,Jack C. Smith,4,8,pubh,famplan,,,3
Charles W. Warren,Susan E. Holck,4,2,pubh,famplan,,,1
Charles W. Warren,Jay S. Friedman,4,1,pubh,famplan,,,1
Charles W. Warren,Jose Garcia-Nunez,4,2,pubh,famplan,,,1
Charles W. Warren,Jorge Martinez-Manautou,4,1,pubh,famplan,,,1
Prayoon Klinshom,Somsak Varakamin,1,5,famplan,famplan,,,1
Somsak Varakamin,Varaporn Devaphalin,5,1,famplan,famplan,,,1
Somsak Varakamin,Tongplaew Narkavonnakit,5,4,famplan,famplan,,,1
Somsak Varakamin,Tony Bennett,5,4,famplan,famplan,,,1
Nicholas H. Wright,Somsak Varakamin,3,5,famplan,famplan,,,1
Chusie Sujpluem,Somsak Varakamin,1,5,famplan,famplan,,,1
Allan G. Rosenfield,Somsak Varakamin,1,5,famplan,famplan,,,1
Somsak Varakamin,Suvanee Satayapan,5,1,famplan,famplan,,,1
Kanchana Kanchanasinith,Somsak Varakamin,1,5,famplan,famplan,,,1
Allan Rosenfield,Somsak Varakamin,4,5,famplan,famplan,,,1
Anthony Bennett,Somsak Varakamin,1,5,famplan,famplan,,,1
Donald Lauro,Somsak Varakamin,1,5,famplan,famplan,,,1
Karen Oppenheim Mason,Sara Arber,3,1,demography,sociology,Mason,,1
John L. Czajka,Sara Arber,1,1,sociology,sociology,,,1
Anthony R. Measham,Walter RodríGues,6,2,demography,famplan,,,1
Anthony R. Measham,Michael J. Rosenberg,6,3,demography,famplan,,,2
Anthony R. Measham,Roger W. Rochat,6,7,demography,pubh,,,1
Anthony R. Measham,Suraiya Jabeen,6,2,demography,famplan,,,2
Anthony R. Measham,M. Obaidullah,6,1,demography,famplan,,,1
Anthony R. Measham,Atiqur R. Khan,6,1,demography,famplan,,,1
Anthony R. Measham,Donald W. Maccorquodale,6,3,demography,famplan,,,1
Anthony R. Measham,Antonio G. Cisneros,6,1,demography,famplan,,,1
Anthony R. Measham,Atiqur Rahman Khan,6,4,demography,demography,,,1
Anthony R. Measham,Jalaluddin Akbar,6,1,demography,famplan,,,1
Anthony R. Measham,Hasina Banu,6,1,demography,famplan,,,1
Anthony R. Measham,James F. Phillips,6,6,demography,famplan,,,1
Anthony R. Measham,Robert G. Potter,6,15,demography,famplan,,,1
Anthony R. Measham,G. Myriam OrdóñEz,6,2,demography,demography,,,1
Neil G. Bennett,Robert D. Retherford,5,5,demography,famplan,,,1
Neil G. Bennett,Shiro Horiuchi,5,2,demography,demography,,,2
Lea Keil Garson,Neil G. Bennett,1,5,demography,demography,,,1
Andrew Mason,Neil G. Bennett,2,5,demography,demography,,,1
H. Bond,J. T. Johnson,1,1,demography,demography,,,1
H. Bond,R. Chander,1,1,demography,demography,,,1
H. Bond,N. L. Aziz,1,1,demography,demography,,,1
Dorothy Fernandez,H. Bond,4,1,economics,demography,,,1
B. A. Tan,H. Bond,1,1,demography,demography,,,1
H. Bond,L. Corsa,1,1,demography,demography,,,1
Bernard Berelson,W. Parker Mauldin,12,10,demography,demography,Berelson,Mauldin,2
W. Parker Mauldin,Zenas Sykes,10,1,demography,famplan,Mauldin,,1
Robert J. Lapham,W. Parker Mauldin,3,10,famplan,demography,,Mauldin,1
W. Parker Mauldin,[Robert Lapham],10,1,demography,demography,Mauldin,,1
John E. Anderson,Mark C. E. Cheng,14,2,pubh,famplan,,,1
Mark C. E. Cheng,Wan Fook-Kee,2,1,famplan,famplan,,,1
Mark C. E. Cheng,Y. M. Wong,2,1,famplan,famplan,,,1
Mark C. E. Cheng,Roger W. Rochat,2,7,famplan,pubh,,,1
Mark C. E. Cheng,S. S. Ratnam,2,1,famplan,famplan,,,1
Ahrudh K. Jain,Christopher Tietze,1,20,famplan,famplan,,,1
German Rodriguez,Linda E. Atkinson,4,1,famplan,famplan,,,1
Anibal Faundes-Latham,Linda E. Atkinson,1,1,famplan,famplan,,,1
Shushum Bhatia,Stan Becker,8,2,famplan,statistics,,,1
Stan Becker,Young J. Kim,2,6,statistics,demography,,,1
Charles F. Westoff,Elise F. Jones,29,9,demography,demography,Westoff,,5
Charles F. Westoff,Lois Paul,29,1,demography,famplan,Westoff,,1
Charles F. Westoff,Norman B. Ryder,29,8,demography,famplan,Westoff,Ryder,1
Anne R. Pebley,Charles F. Westoff,13,29,demography,demography,Pebley,Westoff,3
Charles F. Westoff,Jane S. Delung,29,1,demography,famplan,Westoff,,1
Charles F. Westoff,Noreen Goldman,29,13,demography,famplan,Westoff,,6
Charles F. Westoff,Jacqueline Darroch Forrest,29,9,demography,demography,Westoff,,1
Charles F. Westoff,James Mccarthy,29,8,demography,demography,Westoff,,3
Charles F. Westoff,James R. Beniger,29,1,demography,famplan,Westoff,,1
Charles F. Westoff,James Trussell,29,24,demography,demography,Westoff,,1
Charles F. Westoff,Gerard Calot,29,1,demography,famplan,Westoff,,1
Andrew D. Foster,Charles F. Westoff,1,29,famplan,demography,,Westoff,1
Charles F. Westoff,Lois E. Paul,29,1,demography,famplan,Westoff,,1
Charles F. Westoff,Siew-Ean Khoo,29,5,demography,demography,Westoff,,1
Charles F. Westoff,Minja Kim Choe,29,1,demography,famplan,Westoff,,1
Charles F. Westoff,Felix Mascarin,29,3,demography,famplan,Westoff,,1
Charles F. Westoff,Charles Hammerslough,29,2,demography,demography,Westoff,,1
Fred W. Reed,Maxine Ruppert,1,1,demography,demography,,,1
J. Richard Udry,Maxine Ruppert,10,1,eugenics,demography,Udry,,1
Dudley Kirk,Frank Wm. Oechsli,3,1,economics,economics,Kirk,,1
John Bongaarts,Rose E. Frisch,22,5,demography,general,,,1
Janet W. Mcarthur,Rose E. Frisch,1,5,general,general,,,1
Rose E. Frisch,Sandra L. Huffman,5,7,general,famplan,,,1
A. K. M. Alauddin Chowdhury,Rose E. Frisch,6,5,general,general,,,1
Rose E. Frisch,W. Henry Mosley,5,5,general,general,,,1
James Trussell,Rose E. Frisch,24,5,demography,general,,,1
Fred W. Reed,J. Richard Udry,1,10,demography,eugenics,,Udry,1
Fred W. Reed,Maxine Ruppert,1,1,demography,demography,,,1
K. Ford,Robert G. Potter,1,15,demography,famplan,,,1
B. Moots,K. Ford,1,1,demography,demography,,,1
Bernard Berelson,Robert H. Haveman,12,3,demography,famplan,Berelson,,2
Anne R. Pebley,Hernan Delgado,13,2,demography,demography,Pebley,,2
Elena Brinemann,Hernan Delgado,1,2,famplan,demography,,,1
Elena Brineman,Hernan Delgado,1,2,demography,demography,,,1
John A. Ross,Sri Poedjastoeti,7,1,demography,famplan,,,1
Lillian Tao,Peter C. Miller,1,2,famplan,famplan,,,1
Lillian Tao,Robert J. Lapham,1,3,famplan,famplan,,,1
Lisa Neidert,W. Parker Frisbie,1,7,sociology,demography,,Frisbie,1
Larry Bumpass,Mercedes Concepcion,5,1,famplan,demography,Bumpass,,1
Mercedes Concepcion,Ronald R. Rindfuss,1,21,demography,sociology,,Rindfuss,1
James A. Palmore,Mercedes Concepcion,8,1,demography,demography,,,1
Byoung Mohk Choi,Mercedes Concepcion,1,1,demography,demography,,,1
Dale N. Robertson,Irving Sivin,2,6,famplan,famplan,,,2
Dale N. Robertson,Francisco Alvarez-Sanchez,2,2,famplan,famplan,,,2
Dale N. Robertson,Soledad Diaz,2,2,famplan,famplan,,,2
Dale N. Robertson,Olivia Mcdonald,2,1,famplan,famplan,,,1
Dale N. Robertson,Pentti Holma,2,2,famplan,famplan,,,2
Dale N. Robertson,Elsimar Coutinho,2,1,famplan,famplan,,,1
Gerald Friedman,Robert W. Fogel,1,2,history,history,,,1
Gerald Friedman,Stanley L. Engerman,1,6,history,history,,,1
Gerald Friedman,Roderick Floud,1,1,history,history,,,1
Gerald Friedman,Robert A. Margo,1,3,history,history,,,1
Gerald Friedman,Kenneth Sokoloff,1,2,history,history,,,1
Gerald Friedman,Richard H. Steckel,1,6,history,history,,,1
Gerald Friedman,T. James Trussell,1,8,history,famplan,,,1
Georgia Villaflor,Gerald Friedman,1,1,history,history,,,1
Gerald Friedman,Kenneth W. Wachter,1,5,history,general,,,1
John Knodel,Visid Prachuabmoh,17,1,demography,famplan,,,1
Linda Atkinson,Oscar Harkavy,2,2,famplan,famplan,,Harkavy,2
Oscar Harkavy,S. Bruce Schearer,2,4,famplan,famplan,Harkavy,,2
Oscar Harkavy,Richard Lincoln,2,7,famplan,famplan,Harkavy,,2
J. M. Tuladhar,John Stoeckel,3,4,famplan,demography,,,2
A. K. M. Alauddin Chowdhury,John Stoeckel,6,4,general,demography,,,1
James A. Palmore,Nasra M. Shah,8,8,demography,demography,,,1
Nasra M. Shah,Tauseef Ahmed,8,1,demography,famplan,,,1
Elizabeth Q. Bulatao,Nasra M. Shah,1,8,famplan,demography,,,1
Nasra M. Shah,Warren C. Robinson,8,1,demography,famplan,,,1
Makhdoom A. Shah,Nasra M. Shah,1,8,famplan,demography,,,1
Fred Arnold,Nasra M. Shah,3,8,demography,demography,,,1
Linda G. Martin,Nasra M. Shah,5,8,demography,demography,,,1
J. Trussell,Nasra M. Shah,3,8,demography,demography,,,1
Florentina Reyes Salvail,Nasra M. Shah,1,8,demography,demography,,,1
Gek-Ching Thai,Robert D. Retherford,1,5,eugenics,famplan,,,1
Lee-Jay Cho,Robert D. Retherford,4,5,famplan,famplan,,,2
Nam-Il Kim,Robert D. Retherford,1,5,demography,famplan,,,1
Neil G. Bennett,Robert D. Retherford,5,5,demography,famplan,,,1
Charles H. C. Chen,G. Roberto Santiso,3,4,famplan,famplan,,,1
Charles H. C. Chen,Leo Morris,3,9,famplan,famplan,,,1
Charles H. C. Chen,Juan M. Flavier,3,1,famplan,famplan,,,1
Charles H. C. Chen,Zhong-Hui Feng,3,1,famplan,famplan,,,1
Kanchana Kanchanasinith,Suvanee Satayapan,1,1,famplan,famplan,,,1
Kanchana Kanchanasinith,Somsak Varakamin,1,5,famplan,famplan,,,1
Deirdre Wulf,Peters D. Willson,11,4,famplan,famplan,,,2
Deirdre Wulf,Raul Rodriguez-Barocio,11,1,famplan,famplan,,,1
Deirdre Wulf,Jose Garcia-Nunez,11,2,famplan,famplan,,,1
Deirdre Wulf,Manuel Urbina-Fuentes,11,1,famplan,famplan,,,1
Alan Keller,Aurora Rabago De Rodriguez,5,1,famplan,famplan,,,1
Aurora Rabago De Rodriguez,Jerald Bailey,1,5,famplan,famplan,,,1
Aurora Rabago De Rodriguez,Ricardo Aparico Jimenez,1,1,famplan,famplan,,,1
Aurora Rabago De Rodriguez,Juan Guillermo Figueroa,1,1,famplan,famplan,,,1
James W. Brackett,John C. Chao,2,1,famplan,famplan,,,1
John C. Chao,R. T. Ravenholt,1,2,famplan,demography,,,1
Dudley L. Poston Jr.,Joachim Singelmann,5,2,sociology,demography,,,1
Eleanor Brown,James Trussell,1,24,demography,demography,,,1
Laurie Schwab Zabin,Samuel D. Clark Jr.,2,2,famplan,famplan,,,1
John F. Kantner,Laurie Schwab Zabin,5,2,demography,famplan,Kantner,,1
Laurie Schwab Zabin,Melvin Zelnik,2,4,famplan,famplan,,,1
Gordon F. De Jong,Ralph R. Sell,3,3,general,demography,,,1
Andrew Cherlin,Carin Celebuski,5,1,sociology,demography,Cherlin,,1
Judith Banister,Samuel H. Preston,2,16,demography,statistics,,Preston,1
Hallie Kintner,John Knodel,1,17,demography,demography,,,1
James Mccarthy,Miguel Gomez Barrantes,8,2,demography,famplan,,,2
James Mccarthy,Nancy Yinger,8,1,demography,famplan,,,1
Andrew Cherlin,James Mccarthy,5,8,sociology,demography,Cherlin,,1
James Mccarthy,Jeanne Griffith,8,1,demography,demography,,,1
James Mccarthy,Jane Menken,8,11,demography,demography,,Menken,1
Charles F. Westoff,James Mccarthy,29,8,demography,demography,Westoff,,3
James Mccarthy,Noreen Goldman,8,13,demography,famplan,,,1
Felix Mascarin,James Mccarthy,3,8,famplan,demography,,,1
Susan E. Holck,Willard Cates Jr.,2,9,famplan,pubh,,,1
Roger W. Rochat,Susan E. Holck,7,2,pubh,famplan,,,1
Charles W. Warren,Susan E. Holck,4,2,pubh,famplan,,,1
Jack C. Smith,Susan E. Holck,8,2,famplan,famplan,,,1
Jay S. Friedman,Susan E. Holck,1,2,famplan,famplan,,,1
John Knodel,Peerasit Kamnuansilpa,17,4,demography,demography,,,3
Aphichat Chamratrithirong,John Knodel,2,17,famplan,demography,,,2
John Knodel,Pichit Pitaktepsombati,17,1,demography,famplan,,,1
John Knodel,Visid Prachuabmoh,17,1,demography,famplan,,,1
John Knodel,Napaporn Chayovan,17,1,demography,famplan,,,1
Albert I. Hermalin,John Knodel,6,17,demography,demography,Hermalin,,1
John Knodel,Nibhon Debavalya,17,2,demography,famplan,,,2
John Knodel,Sauvaluck Piampiti,17,1,demography,famplan,,,1
Hallie Kintner,John Knodel,1,17,demography,demography,,,1
John Knodel,Tony Bennett,17,4,demography,famplan,,,1
John Knodel,Suthon Panyadilok,17,1,demography,famplan,,,1
John Knodel,Napaporn Havanon,17,1,demography,demography,,,1
Anthony Pramualratana,John Knodel,1,17,demography,demography,,,1
Etienne Van De Walle,John Knodel,5,17,demography,demography,Walle,,1
Constance Henry,David Knoke,1,3,general,general,,,1
Barbara Janowitz,Deborah L. Covington,4,1,demography,famplan,,,1
Deborah L. Covington,Joaquin A. Nunez,1,1,famplan,famplan,,,1
Christine E. Colven,Deborah L. Covington,1,1,famplan,famplan,,,1
Aziz Bindary,J. Mayone Stycos,1,8,famplan,demography,,,1
J. Mayone Stycos,Roger C. Avery,8,5,demography,famplan,,,1
Atef M. Khalifa,J. Mayone Stycos,1,8,famplan,demography,,,1
Hussein Abdel-Aziz Sayed,J. Mayone Stycos,1,8,famplan,demography,,,1
Ann Way,J. Mayone Stycos,1,8,famplan,demography,,,1
Kenneth L. Wilson,W. Allen Martin,2,1,sociology,sociology,,,1
Alejandro Portes,Kenneth L. Wilson,6,2,demography,sociology,,,1
J. N. Hobcraft,J. W. Mcdonald,2,1,demography,demography,,,1
J. W. Mcdonald,S. O. Rutstein,1,1,demography,demography,,,1
David Snyder,William R. Kelly,1,4,sociology,famplan,,,1
Charles F. Westoff,Minja Kim Choe,29,1,demography,famplan,Westoff,,1
Minja Kim Choe,Noreen Goldman,1,13,famplan,famplan,,,1
Minja Kim Choe,Siew-Ean Khoo,1,5,famplan,demography,,,1
Harvey A. Garn,William H. Frey,1,7,economics,demography,,,1
Harvey A. Garn,Janet Rothenberg Pack,1,2,economics,history,,,1
Andrew Mason,Neil G. Bennett,2,5,demography,demography,,,1
Andrew Mason,Linda G. Martin,2,5,demography,demography,,,1
Albert K. Schoenbucher,James D. Shelton,1,2,pubh,pubh,,,1
Robert W. Fogel,Stanley L. Engerman,2,6,history,history,,,2
Robert W. Fogel,Roderick Floud,2,1,history,history,,,1
Gerald Friedman,Robert W. Fogel,1,2,history,history,,,1
Robert A. Margo,Robert W. Fogel,3,2,history,history,,,1
Kenneth Sokoloff,Robert W. Fogel,2,2,history,history,,,1
Richard H. Steckel,Robert W. Fogel,6,2,history,history,,,1
Robert W. Fogel,T. James Trussell,2,8,history,famplan,,,1
Georgia Villaflor,Robert W. Fogel,1,2,history,history,,,1
Kenneth W. Wachter,Robert W. Fogel,5,2,general,history,,,1
James Trussell,Robert W. Fogel,24,2,demography,history,,,1
Donna M. Strobino,Young J. Kim,2,6,demography,demography,,,1
Lois E. Paul,Noreen Goldman,1,13,famplan,famplan,,,1
Anne R. Pebley,Lois E. Paul,13,1,demography,famplan,Pebley,,1
Charles F. Westoff,Lois E. Paul,29,1,demography,famplan,Westoff,,1
C. Gray Swicegood,S. Philip Morgan,2,7,demography,sociology,,Morgan,2
Ronald R. Rindfuss,S. Philip Morgan,21,7,sociology,sociology,Rindfuss,Morgan,4
Kiyosi Hirosima,S. Philip Morgan,1,7,sociology,sociology,,Morgan,1
Allan Parnell,S. Philip Morgan,1,7,demography,sociology,,Morgan,1
Isaac W. Eberstein,Jan Reese Parker,2,1,demography,demography,,,1
Marjorie A. Koblinsky,Roy O. Greep,1,1,famplan,famplan,,,1
Frederick S. Jaffe,Roy O. Greep,7,1,famplan,famplan,,,1
Lisa A. Schraml,Robert L. Bach,1,6,demography,demography,,,1
James F. Phillips,Wayne S. Stinson,6,2,famplan,famplan,,,2
Makhlisur Rahman,Wayne S. Stinson,4,2,famplan,famplan,,,2
J. Chakraborty,Wayne S. Stinson,8,2,demography,famplan,,,2
Shushum Bhatia,Wayne S. Stinson,8,2,famplan,famplan,,,1
Peter Patta Sumbung,Suwardjono Surjaningrat,1,3,famplan,famplan,,,1
Peter Patta Sumbung,R. Henry Pardoko,1,1,famplan,famplan,,,1
M. Soedarmadi,Peter Patta Sumbung,1,1,famplan,famplan,,,1
Ali Ashraf,Ruth S. Simmons,2,1,famplan,famplan,,,1
Fred Arnold,Gordon F. De Jong,3,3,demography,general,,,1
Fred Arnold,Ricardo G. Abad,3,1,demography,demography,,,1
Benjamin V. Carino,Fred Arnold,1,3,demography,demography,,,1
Fred Arnold,James T. Fawcett,3,3,demography,demography,,,1
Fred Arnold,Robert W. Gardner,3,2,demography,demography,,,1
Fred Arnold,Nasra M. Shah,3,8,demography,demography,,,1
Virginia S. Cain,Wendy Baldwin,1,2,famplan,sociology,,,1
Elizabeth Q. Bulatao,Nasra M. Shah,1,8,famplan,demography,,,1
Robert M. Hauser,Susan G. Janssen,4,1,demography,demography,,,1
Hui-Sheng Lin,Te-Hsiung Sun,1,8,famplan,famplan,,,1
Hui-Sheng Lin,Ronald Freedman,1,13,famplan,demography,,Freedman,1
Michael A. Strong,Michael R. Haines,1,12,demography,demography,,,1
Michael A. Strong,Roger C. Avery,1,5,demography,famplan,,,1
Frances E. Kobrin,Robert G. Potter,6,15,famplan,famplan,,,2
Frances E. Kobrin,Raymond L. Langsten,6,1,famplan,famplan,,,1
Frances E. Kobrin,William H. Frey,6,7,famplan,demography,,,1
Frances E. Kobrin,Gerry E. Hendershot,6,10,famplan,famplan,,,1
Shamsuddin Bin Abdul Rahman,Tan Boon Ann,1,2,famplan,eugenics,,,1
M. Subbiah,Tan Boon Ann,1,2,famplan,eugenics,,,1
Loh Sow Khin,Tan Boon Ann,1,2,famplan,eugenics,,,1
Tan Boon Ann,Yusof Bakar,2,1,eugenics,famplan,,,1
J. Timothy Johnson,Tan Boon Ann,2,2,eugenics,eugenics,,,1
Tan Boon Ann,V. T. Palan,2,2,eugenics,eugenics,,,1
David L. Featherman,Dennis P. Hogan,1,10,sociology,sociology,,,1
Dennis P. Hogan,Michele Pazul,10,2,sociology,sociology,,,2
Dennis P. Hogan,Somphong Shevasunt,10,1,sociology,famplan,,,1
Dennis P. Hogan,Kwanchai Thaithong,10,1,sociology,famplan,,,1
Amy Ong Tsui,Dennis P. Hogan,4,10,demography,sociology,,,2
Carlos Welti-Chanes,Dennis P. Hogan,2,10,demography,sociology,,,2
Dennis P. Hogan,Jay D. Teachman,10,8,sociology,famplan,,,3
Dennis P. Hogan,Paul D. Frenzen,10,2,sociology,demography,,,2
Dennis P. Hogan,Donald J. Bogue,10,3,sociology,history,,Bogue,1
Chusie Sujpluem,Nicholas H. Wright,1,3,famplan,famplan,,,1
Allan G. Rosenfield,Nicholas H. Wright,1,3,famplan,famplan,,,1
Nicholas H. Wright,Somsak Varakamin,3,5,famplan,famplan,,,1
Albert J. Fernando,Nicholas H. Wright,1,3,famplan,famplan,,,1
Nicholas H. Wright,S. Y. S. B. Herath,3,1,famplan,famplan,,,1
Charles Hirschman,Marilyn Butler,14,1,sociology,demography,Hirschman,,1
Bernard Berelson,Jonathan Lieberson,12,1,demography,demography,Berelson,,1
David E. Bloom,James Trussell,5,24,eugenics,demography,,,1
Anne R. Pebley,David E. Bloom,13,5,demography,eugenics,Pebley,,1
Chai Bin Park,Lee-Jay Cho,3,4,famplan,famplan,,,1
James A. Palmore,Lee-Jay Cho,8,4,demography,famplan,,,1
Lee-Jay Cho,Robert D. Retherford,4,5,famplan,famplan,,,2
Lee-Jay Cho,Nam-Il Kim,4,1,famplan,demography,,,1
Anne R. Pebley,Noreen Goldman,13,13,demography,famplan,Pebley,,2
Graham Lord,Noreen Goldman,2,13,demography,famplan,,,2
Charles F. Westoff,Noreen Goldman,29,13,demography,famplan,Westoff,,6
Jane S. Delung,Noreen Goldman,1,13,famplan,famplan,,,1
Jacqueline Darroch Forrest,Noreen Goldman,9,13,demography,famplan,,,1
Lois E. Paul,Noreen Goldman,1,13,famplan,famplan,,,1
Noreen Goldman,Siew-Ean Khoo,13,5,famplan,demography,,,1
Minja Kim Choe,Noreen Goldman,1,13,famplan,famplan,,,1
James Mccarthy,Noreen Goldman,8,13,demography,famplan,,,1
