source,target,scount,tcount,sfield,tfield,sabbrev,tabbrev,weight
PDR,Studies in Family Planning,394,303,demography,famplan,PDR,Studies in FP,45
PRPR,Studies in Family Planning,224,303,demography,famplan,PRPR,Studies in FP,29
Journal of Marriage and Family,Population Studies,270,226,demography,demography,JMF,Pop. Studies,22
Journal of Marriage and Family,Studies in Family Planning,270,303,demography,famplan,JMF,Studies in FP,14
Journal of Population Economics,PDR,203,394,demography,demography,Pop. Econ.,PDR,13
International Migration Review,PRPR,401,224,demography,demography,IMR,PRPR,30
European Journal of Population,Population Studies,137,226,demography,demography,Euro. Pop.,Pop. Studies,34
American Journal of Sociology,American Sociological Review,40,104,sociology,sociology,AJS,ASR,20
PDR,PRPR,394,224,demography,demography,PDR,PRPR,39
American Journal of Sociology,Journal of Marriage and Family,40,270,sociology,demography,AJS,JMF,10
European Journal of Population,Genus,137,174,demography,eugenics,Euro. Pop.,Genus,15
Genus,Population and Environment,174,164,eugenics,demography,Genus,Pop. Env.,2
Genus,PDR,174,394,eugenics,demography,Genus,PDR,16
Genus,Population Studies,174,226,eugenics,demography,Genus,Pop. Studies,24
Population Studies,Population and Environment,226,164,demography,demography,Pop. Studies,Pop. Env.,8
American Economic Review,Economic Development and Cultural Change,127,83,economics,economics,AER,Econ. Dev.,4
American Economic Review,PRPR,127,224,economics,demography,AER,PRPR,4
American Economic Review,Demography,127,340,economics,demography,AER,Demography,25
American Economic Review,Journal of Marriage and Family,127,270,economics,demography,AER,JMF,4
American Economic Review,Population Studies,127,226,economics,demography,AER,Pop. Studies,4
American Economic Review,Studies in Family Planning,127,303,economics,famplan,AER,Studies in FP,3
American Economic Review,J. of the American Statistical Association,127,25,economics,statistics,AER,JASA,3
Economic Development and Cultural Change,PRPR,83,224,economics,demography,Econ. Dev.,PRPR,6
Demography,Economic Development and Cultural Change,340,83,demography,economics,Demography,Econ. Dev.,9
Economic Development and Cultural Change,Journal of Marriage and Family,83,270,economics,demography,Econ. Dev.,JMF,1
Economic Development and Cultural Change,Population Studies,83,226,economics,demography,Econ. Dev.,Pop. Studies,7
Economic Development and Cultural Change,Studies in Family Planning,83,303,economics,famplan,Econ. Dev.,Studies in FP,7
Economic Development and Cultural Change,J. of the American Statistical Association,83,25,economics,statistics,Econ. Dev.,JASA,2
J. of the American Statistical Association,PRPR,25,224,statistics,demography,JASA,PRPR,3
Demography,J. of the American Statistical Association,340,25,demography,statistics,Demography,JASA,11
J. of the American Statistical Association,Journal of Marriage and Family,25,270,statistics,demography,JASA,JMF,1
J. of the American Statistical Association,Population Studies,25,226,statistics,demography,JASA,Pop. Studies,3
J. of the American Statistical Association,Studies in Family Planning,25,303,statistics,famplan,JASA,Studies in FP,2
Population Studies,Social Forces,226,157,demography,sociology,Pop. Studies,Social Forces,11
Journal of Marriage and Family,PDR,270,394,demography,demography,JMF,PDR,24
Genus,Human Biology,174,134,eugenics,eugenics,Genus,Human Biology,2
International FP Perspectives,Population and Environment,270,164,famplan,demography,Intl. FP,Pop. Env.,4
International FP Perspectives,International Migration Review,270,401,famplan,demography,Intl. FP,IMR,4
International FP Perspectives,PDR,270,394,famplan,demography,Intl. FP,PDR,21
Population and Environment,Studies in Family Planning,164,303,demography,famplan,Pop. Env.,Studies in FP,3
International Migration Review,Studies in Family Planning,401,303,demography,famplan,IMR,Studies in FP,5
American Journal of Sociology,International Migration Review,40,401,sociology,demography,AJS,IMR,7
AAAPSS,Journal of Marriage and Family,41,270,general,demography,AAAPSS,JMF,4
American Journal of Agricultural Economics,Demography,42,340,economics,demography,Ag. Econ.,Demography,3
Family Planning Perspectives,International FP Perspectives,200,270,famplan,famplan,FP Perspectives,Intl. FP,25
International FP Perspectives,Social Forces,270,157,famplan,sociology,Intl. FP,Social Forces,3
International FP Perspectives,Journal of Marriage and Family,270,270,famplan,demography,Intl. FP,JMF,2
International FP Perspectives,Population Studies,270,226,famplan,demography,Intl. FP,Pop. Studies,21
Social Forces,Studies in Family Planning,157,303,sociology,famplan,Social Forces,Studies in FP,8
Demography,International FP Perspectives,340,270,demography,famplan,Demography,Intl. FP,24
Social Forces,Social Indicators Research,157,106,sociology,general,Social Forces,Soc. Ind.,4
Journal of Economic History,Journal of Interdisciplinary History,73,46,history,history,JEH,JIH,10
Journal of Interdisciplinary History,Social Science History,46,57,history,history,JIH,SSH,4
European Journal of Population,International Migration Review,137,401,demography,demography,Euro. Pop.,IMR,6
Biometrika,PNAS,1,51,eugenics,general,Biometrika,PNAS,3
Family Planning Perspectives,PDR,200,394,famplan,demography,FP Perspectives,PDR,8
Family Planning Perspectives,Population Studies,200,226,famplan,demography,FP Perspectives,Pop. Studies,7
International FP Perspectives,PRPR,270,224,famplan,demography,Intl. FP,PRPR,17
American Journal of Agricultural Economics,Economic Development and Cultural Change,42,83,economics,economics,Ag. Econ.,Econ. Dev.,3
International Migration Review,J. of the American Statistical Association,401,25,demography,statistics,IMR,JASA,1
American Economic Review,Journal of Population Economics,127,203,economics,demography,AER,Pop. Econ.,6
Economic History Review,Journal of Economic History,35,73,history,history,EHR,JEH,4
PDR,Science,394,54,demography,general,PDR,Science,17
Journal of Population Economics,PRPR,203,224,demography,demography,Pop. Econ.,PRPR,9
Human Biology,Population Studies,134,226,eugenics,demography,Human Biology,Pop. Studies,2
Genus,PRPR,174,224,eugenics,demography,Genus,PRPR,10
Genus,International Migration Review,174,401,eugenics,demography,Genus,IMR,6
Genus,Journal of Population Economics,174,203,eugenics,demography,Genus,Pop. Econ.,2
Genus,Science,174,54,eugenics,general,Genus,Science,5
Journal of Population Economics,Science,203,54,demography,general,Pop. Econ.,Science,2
PNAS,Science,51,54,general,general,PNAS,Science,5
Demography,Social Science History,340,57,demography,history,Demography,SSH,8
Population Studies,Social Science History,226,57,demography,history,Pop. Studies,SSH,7
Human Biology,Public Health Reports,134,140,eugenics,pubh,Human Biology,PHR,1
Demography,Genus,340,174,demography,eugenics,Demography,Genus,20
American Sociological Review,Science,104,54,sociology,general,ASR,Science,2
Science,Social Forces,54,157,general,sociology,Science,Social Forces,1
American Sociological Review,Population and Environment,104,164,sociology,demography,ASR,Pop. Env.,5
American Sociological Review,Population Studies,104,226,sociology,demography,ASR,Pop. Studies,6
American Sociological Review,Biometrics,104,19,sociology,eugenics,ASR,Biometrics,1
Demography,Population and Environment,340,164,demography,demography,Demography,Pop. Env.,11
Journal of Marriage and Family,Population and Environment,270,164,demography,demography,JMF,Pop. Env.,6
Biometrics,Population and Environment,19,164,eugenics,demography,Biometrics,Pop. Env.,1
Biometrics,Demography,19,340,eugenics,demography,Biometrics,Demography,2
Biometrics,Journal of Marriage and Family,19,270,eugenics,demography,Biometrics,JMF,1
Biometrics,Population Studies,19,226,eugenics,demography,Biometrics,Pop. Studies,1
American Sociological Review,International Migration Review,104,401,sociology,demography,ASR,IMR,13
Demography,European Journal of Population,340,137,demography,demography,Demography,Euro. Pop.,20
European Journal of Population,PRPR,137,224,demography,demography,Euro. Pop.,PRPR,15
European Journal of Population,Journal of Marriage and Family,137,270,demography,demography,Euro. Pop.,JMF,13
Human Biology,Social Forces,134,157,eugenics,sociology,Human Biology,Social Forces,1
American Journal of Sociology,Economic Development and Cultural Change,40,83,sociology,economics,AJS,Econ. Dev.,2
Demography,Journal of Economic History,340,73,demography,history,Demography,JEH,5
Journal of Economic History,Population Studies,73,226,history,demography,JEH,Pop. Studies,2
Demography,Journal of Interdisciplinary History,340,46,demography,history,Demography,JIH,3
Journal of Interdisciplinary History,Population Studies,46,226,history,demography,JIH,Pop. Studies,7
American Sociological Review,European Journal of Population,104,137,sociology,demography,ASR,Euro. Pop.,4
Journal of Economic History,Social Indicators Research,73,106,history,general,JEH,Soc. Ind.,1
Journal of Economic History,PDR,73,394,history,demography,JEH,PDR,2
PDR,Social Indicators Research,394,106,demography,general,PDR,Soc. Ind.,3
PDR,PNAS,394,51,demography,general,PDR,PNAS,11
American Economic Review,PDR,127,394,economics,demography,AER,PDR,15
Economic Development and Cultural Change,PDR,83,394,economics,demography,Econ. Dev.,PDR,6
European Journal of Population,Journal of Interdisciplinary History,137,46,demography,history,Euro. Pop.,JIH,2
European Journal of Population,Journal of Population Economics,137,203,demography,demography,Euro. Pop.,Pop. Econ.,11
Demography,Economic Geography,340,29,demography,geography,Demography,Econ. Geo.,1
American Sociological Review,Human Biology,104,134,sociology,eugenics,ASR,Human Biology,1
Human Biology,PRPR,134,224,eugenics,demography,Human Biology,PRPR,5
Economic Development and Cultural Change,Journal of Population Economics,83,203,economics,demography,Econ. Dev.,Pop. Econ.,5
American Economic Review,Journal of Economic History,127,73,economics,history,AER,JEH,7
Economic History Review,Population Studies,35,226,history,demography,EHR,Pop. Studies,2
PRPR,Population and Environment,224,164,demography,demography,PRPR,Pop. Env.,7
AAAPSS,Family Planning Perspectives,41,200,general,famplan,AAAPSS,FP Perspectives,3
AAAPSS,PRPR,41,224,general,demography,AAAPSS,PRPR,2
AAAPSS,Population Studies,41,226,general,demography,AAAPSS,Pop. Studies,1
Population Studies,Social Indicators Research,226,106,demography,general,Pop. Studies,Soc. Ind.,2
Genus,Studies in Family Planning,174,303,eugenics,famplan,Genus,Studies in FP,11
Journal of Social History,PDR,21,394,history,demography,Social Hist.,PDR,1
Journal of Social History,Population Studies,21,226,history,demography,Social Hist.,Pop. Studies,4
American Journal of Sociology,Social Forces,40,157,sociology,sociology,AJS,Social Forces,12
American Journal of Sociology,PDR,40,394,sociology,demography,AJS,PDR,6
American Sociological Review,PDR,104,394,sociology,demography,ASR,PDR,10
AAAPSS,Studies in Family Planning,41,303,general,famplan,AAAPSS,Studies in FP,1
Family Planning Perspectives,Studies in Family Planning,200,303,famplan,famplan,FP Perspectives,Studies in FP,8
Genus,Journal of Marriage and Family,174,270,eugenics,demography,Genus,JMF,10
American Journal of Sociology,Family Planning Perspectives,40,200,sociology,famplan,AJS,FP Perspectives,4
American Journal of Sociology,PRPR,40,224,sociology,demography,AJS,PRPR,8
American Journal of Sociology,Demography,40,340,sociology,demography,AJS,Demography,18
Population Studies,Science,226,54,demography,general,Pop. Studies,Science,9
Journal of Economic History,William and Mary Quarterly,73,8,history,history,JEH,WMQ,2
Journal of Interdisciplinary History,William and Mary Quarterly,46,8,history,history,JIH,WMQ,2
Social Science History,William and Mary Quarterly,57,8,history,history,SSH,WMQ,2
Family Planning Perspectives,Public Health Reports,200,140,famplan,pubh,FP Perspectives,PHR,7
American Economic Review,William and Mary Quarterly,127,8,economics,history,AER,WMQ,1
American Economic Review,Social Science History,127,57,economics,history,AER,SSH,2
Biometrics,J. of the American Statistical Association,19,25,eugenics,statistics,Biometrics,JASA,5
American Economic Review,Genus,127,174,economics,eugenics,AER,Genus,3
AAAPSS,American Economic Review,41,127,general,economics,AAAPSS,AER,3
AAAPSS,Genus,41,174,general,eugenics,AAAPSS,Genus,1
Journal of Population Economics,Social Forces,203,157,demography,sociology,Pop. Econ.,Social Forces,2
Journal of Marriage and Family,Journal of Population Economics,270,203,demography,demography,JMF,Pop. Econ.,5
AAAPSS,Journal of Population Economics,41,203,general,demography,AAAPSS,Pop. Econ.,1
International FP Perspectives,Social Science History,270,57,famplan,history,Intl. FP,SSH,2
PRPR,Social Science History,224,57,demography,history,PRPR,SSH,3
PDR,Social Science History,394,57,demography,history,PDR,SSH,3
Social Science History,Studies in Family Planning,57,303,history,famplan,SSH,Studies in FP,3
Biometrika,J. of the American Statistical Association,1,25,eugenics,statistics,Biometrika,JASA,1
J. of the American Statistical Association,PNAS,25,51,statistics,general,JASA,PNAS,1
Population and Environment,Science,164,54,demography,general,Pop. Env.,Science,2
Family Planning Perspectives,Genus,200,174,famplan,eugenics,FP Perspectives,Genus,1
Demography,Social Indicators Research,340,106,demography,general,Demography,Soc. Ind.,4
International Migration Review,Social Indicators Research,401,106,demography,general,IMR,Soc. Ind.,3
American Economic Review,International Migration Review,127,401,economics,demography,AER,IMR,5
Genus,PNAS,174,51,eugenics,general,Genus,PNAS,2
Demography,PNAS,340,51,demography,general,Demography,PNAS,9
GeoJournal,International Migration Review,117,401,geography,demography,GeoJournal,IMR,2
GeoJournal,PDR,117,394,geography,demography,GeoJournal,PDR,1
GeoJournal,Population Index,117,5,geography,demography,GeoJournal,Pop. Index,1
International Migration Review,Population Index,401,5,demography,demography,IMR,Pop. Index,2
PDR,Population Index,394,5,demography,demography,PDR,Pop. Index,3
Economic Development and Cultural Change,Population and Environment,83,164,economics,demography,Econ. Dev.,Pop. Env.,1
Economic Development and Cultural Change,International Migration Review,83,401,economics,demography,Econ. Dev.,IMR,4
Economic Development and Cultural Change,Social Science History,83,57,economics,history,Econ. Dev.,SSH,1
Population and Environment,Social Science History,164,57,demography,history,Pop. Env.,SSH,1
International Migration Review,Social Science History,401,57,demography,history,IMR,SSH,1
Journal of Interdisciplinary History,PRPR,46,224,history,demography,JIH,PRPR,1
Journal of Interdisciplinary History,Journal of Social History,46,21,history,history,JIH,Social Hist.,3
Journal of Social History,PRPR,21,224,history,demography,Social Hist.,PRPR,2
Demography,Journal of Social History,340,21,demography,history,Demography,Social Hist.,1
American Economic Review,Journal of Interdisciplinary History,127,46,economics,history,AER,JIH,4
AAAPSS,Journal of Economic History,41,73,general,history,AAAPSS,JEH,1
AAAPSS,Journal of Interdisciplinary History,41,46,general,history,AAAPSS,JIH,1
Journal of Interdisciplinary History,PDR,46,394,history,demography,JIH,PDR,4
American Journal of Agricultural Economics,Journal of Population Economics,42,203,economics,demography,Ag. Econ.,Pop. Econ.,1
Genus,J. of the American Statistical Association,174,25,eugenics,statistics,Genus,JASA,2
Genus,International FP Perspectives,174,270,eugenics,famplan,Genus,Intl. FP,10
American Journal of Sociology,Journal of Population Economics,40,203,sociology,demography,AJS,Pop. Econ.,3
American Journal of Sociology,Population Index,40,5,sociology,demography,AJS,Pop. Index,2
American Journal of Sociology,PNAS,40,51,sociology,general,AJS,PNAS,3
Journal of Population Economics,Population Index,203,5,demography,demography,Pop. Econ.,Pop. Index,1
Journal of Population Economics,PNAS,203,51,demography,general,Pop. Econ.,PNAS,2
PRPR,Population Index,224,5,demography,demography,PRPR,Pop. Index,1
PNAS,PRPR,51,224,general,demography,PNAS,PRPR,2
Population Index,Social Forces,5,157,demography,sociology,Pop. Index,Social Forces,1
PNAS,Social Forces,51,157,general,sociology,PNAS,Social Forces,2
Demography,Population Index,340,5,demography,demography,Demography,Pop. Index,2
International Migration Review,PNAS,401,51,demography,general,IMR,PNAS,3
PNAS,Population Index,51,5,general,demography,PNAS,Pop. Index,1
Journal of Social History,William and Mary Quarterly,21,8,history,history,Social Hist.,WMQ,1
Economic Development and Cultural Change,International FP Perspectives,83,270,economics,famplan,Econ. Dev.,Intl. FP,3
American Economic Review,Science,127,54,economics,general,AER,Science,5
J. of the American Statistical Association,Science,25,54,statistics,general,JASA,Science,2
European Journal of Population,Social Science History,137,57,demography,history,Euro. Pop.,SSH,2
Economic Geography,GeoJournal,29,117,geography,geography,Econ. Geo.,GeoJournal,1
Journal of Marriage and Family,Social Science History,270,57,demography,history,JMF,SSH,1
European Journal of Population,Studies in Family Planning,137,303,demography,famplan,Euro. Pop.,Studies in FP,7
Genus,Social Indicators Research,174,106,eugenics,general,Genus,Soc. Ind.,3
Journal of Economic History,Journal of Population Economics,73,203,history,demography,JEH,Pop. Econ.,3
PDR,Public Health Reports,394,140,demography,pubh,PDR,PHR,2
Family Planning Perspectives,Social Indicators Research,200,106,famplan,general,FP Perspectives,Soc. Ind.,1
Economic History Review,William and Mary Quarterly,35,8,history,history,EHR,WMQ,2
AAAPSS,American Sociological Review,41,104,general,sociology,AAAPSS,ASR,3
J. of the American Statistical Association,Public Health Reports,25,140,statistics,pubh,JASA,PHR,1
Family Planning Perspectives,Science,200,54,famplan,general,FP Perspectives,Science,2
International FP Perspectives,Science,270,54,famplan,general,Intl. FP,Science,1
Science,Studies in Family Planning,54,303,general,famplan,Science,Studies in FP,2
Journal of Population Economics,Social Science History,203,57,demography,history,Pop. Econ.,SSH,1
PRPR,Social Indicators Research,224,106,demography,general,PRPR,Soc. Ind.,4
European Journal of Population,Science,137,54,demography,general,Euro. Pop.,Science,3
American Journal of Agricultural Economics,Science,42,54,economics,general,Ag. Econ.,Science,1
Human Biology,Science,134,54,eugenics,general,Human Biology,Science,2
PRPR,Science,224,54,demography,general,PRPR,Science,3
Population Index,Public Health Reports,5,140,demography,pubh,Pop. Index,PHR,1
American Economic Review,Population and Environment,127,164,economics,demography,AER,Pop. Env.,1
Journal of Population Economics,Population and Environment,203,164,demography,demography,Pop. Econ.,Pop. Env.,3
American Sociological Review,PNAS,104,51,sociology,general,ASR,PNAS,2
Journal of Marriage and Family,PNAS,270,51,demography,general,JMF,PNAS,2
J. of the American Statistical Association,Journal of Economic History,25,73,statistics,history,JASA,JEH,1
Journal of Population Economics,Studies in Family Planning,203,303,demography,famplan,Pop. Econ.,Studies in FP,6
Genus,Journal of Social History,174,21,eugenics,history,Genus,Social Hist.,2
European Journal of Population,Journal of Social History,137,21,demography,history,Euro. Pop.,Social Hist.,1
Journal of Marriage and Family,Journal of Social History,270,21,demography,history,JMF,Social Hist.,1
J. of the American Statistical Association,Journal of Population Economics,25,203,statistics,demography,JASA,Pop. Econ.,1
J. of the American Statistical Association,PDR,25,394,statistics,demography,JASA,PDR,1
European Journal of Population,International FP Perspectives,137,270,demography,famplan,Euro. Pop.,Intl. FP,3
AAAPSS,PNAS,41,51,general,general,AAAPSS,PNAS,1
Journal of Marriage and Family,Social Indicators Research,270,106,demography,general,JMF,Soc. Ind.,2
European Journal of Population,Social Indicators Research,137,106,demography,general,Euro. Pop.,Soc. Ind.,2
Family Planning Perspectives,Journal of Population Economics,200,203,famplan,demography,FP Perspectives,Pop. Econ.,1
American Journal of Sociology,European Journal of Population,40,137,sociology,demography,AJS,Euro. Pop.,2
American Journal of Sociology,Population Studies,40,226,sociology,demography,AJS,Pop. Studies,3
Economic Development and Cultural Change,Journal of Interdisciplinary History,83,46,economics,history,Econ. Dev.,JIH,1
Family Planning Perspectives,Population and Environment,200,164,famplan,demography,FP Perspectives,Pop. Env.,2
American Economic Review,American Sociological Review,127,104,economics,sociology,AER,ASR,1
Economic History Review,Social Science History,35,57,history,history,EHR,SSH,1
Genus,Social Forces,174,157,eugenics,sociology,Genus,Social Forces,6
American Journal of Sociology,Genus,40,174,sociology,eugenics,AJS,Genus,2
American Journal of Sociology,Social Indicators Research,40,106,sociology,general,AJS,Soc. Ind.,1
Human Biology,PDR,134,394,eugenics,demography,Human Biology,PDR,1
Human Biology,Studies in Family Planning,134,303,eugenics,famplan,Human Biology,Studies in FP,1
American Economic Review,American Journal of Agricultural Economics,127,42,economics,economics,AER,Ag. Econ.,2
Social Indicators Research,Studies in Family Planning,106,303,general,famplan,Soc. Ind.,Studies in FP,2
European Journal of Population,PNAS,137,51,demography,general,Euro. Pop.,PNAS,2
Public Health Reports,Social Indicators Research,140,106,pubh,general,PHR,Soc. Ind.,1
PNAS,Population Studies,51,226,general,demography,PNAS,Pop. Studies,3
Economic Development and Cultural Change,Genus,83,174,economics,eugenics,Econ. Dev.,Genus,1
Economic History Review,Journal of Interdisciplinary History,35,46,history,history,EHR,JIH,2
Economic History Review,PDR,35,394,history,demography,EHR,PDR,2
American Journal of Agricultural Economics,PRPR,42,224,economics,demography,Ag. Econ.,PRPR,1
GeoJournal,Population and Environment,117,164,geography,demography,GeoJournal,Pop. Env.,1
American Economic Review,Family Planning Perspectives,127,200,economics,famplan,AER,FP Perspectives,1
Family Planning Perspectives,International Migration Review,200,401,famplan,demography,FP Perspectives,IMR,1
European Journal of Population,Family Planning Perspectives,137,200,demography,famplan,Euro. Pop.,FP Perspectives,1
Biometrics,Science,19,54,eugenics,general,Biometrics,Science,1
American Sociological Review,Journal of Population Economics,104,203,sociology,demography,ASR,Pop. Econ.,2
American Economic Review,Population Index,127,5,economics,demography,AER,Pop. Index,1
American Journal of Agricultural Economics,Population Index,42,5,economics,demography,Ag. Econ.,Pop. Index,1
American Journal of Sociology,Population and Environment,40,164,sociology,demography,AJS,Pop. Env.,2
Genus,Population Index,174,5,eugenics,demography,Genus,Pop. Index,1
Population Index,Population and Environment,5,164,demography,demography,Pop. Index,Pop. Env.,1
Journal of Marriage and Family,Population Index,270,5,demography,demography,JMF,Pop. Index,1
Population Index,Population Studies,5,226,demography,demography,Pop. Index,Pop. Studies,1
American Economic Review,Economic History Review,127,35,economics,history,AER,EHR,1
Economic History Review,Journal of Population Economics,35,203,history,demography,EHR,Pop. Econ.,1
Human Biology,Social Science History,134,57,eugenics,history,Human Biology,SSH,1
American Economic Review,PNAS,127,51,economics,general,AER,PNAS,4
Population and Environment,Social Forces,164,157,demography,sociology,Pop. Env.,Social Forces,1
American Economic Review,Social Indicators Research,127,106,economics,general,AER,Soc. Ind.,1
Science,Social Indicators Research,54,106,general,general,Science,Soc. Ind.,1
PNAS,Social Indicators Research,51,106,general,general,PNAS,Soc. Ind.,1
PNAS,Studies in Family Planning,51,303,general,famplan,PNAS,Studies in FP,1
American Sociological Review,Genus,104,174,sociology,eugenics,ASR,Genus,1
Genus,Journal of Interdisciplinary History,174,46,eugenics,history,Genus,JIH,1
American Sociological Review,Journal of Interdisciplinary History,104,46,sociology,history,ASR,JIH,1
American Sociological Review,Journal of Social History,104,21,sociology,history,ASR,Social Hist.,2
American Journal of Sociology,J. of the American Statistical Association,40,25,sociology,statistics,AJS,JASA,1
American Sociological Review,J. of the American Statistical Association,104,25,sociology,statistics,ASR,JASA,1
J. of the American Statistical Association,Population and Environment,25,164,statistics,demography,JASA,Pop. Env.,1
AAAPSS,Science,41,54,general,general,AAAPSS,Science,1
Population and Environment,Social Indicators Research,164,106,demography,general,Pop. Env.,Soc. Ind.,1
Demography,Human Biology,340,134,demography,eugenics,Demography,Human Biology,1
