source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Alfred J. Lotka,Louis I. Dublin,1,1,general,general,Lotka,Dublin,1
Chia-Lin Pan,Irene B. Taeuber,2,16,demography,general,,Taeuber,1
Hilda Hertz Golden,Kingsley Davis,1,12,economics,general,,Davis,1
Halbert L. Dunn,Nora P. Powell,3,1,pubh,general,,,1
Hope T. Eldridge,Nora P. Powell,7,1,general,general,,,1
Henry S. Shryock Jr.,Norman Lawrence,7,1,statistics,statistics,Shryock,,1
Henry S. Shryock Jr.,Hope T. Eldridge,7,7,statistics,general,Shryock,,1
Henry S. Shryock Jr.,Jacob S. Siegel,7,4,statistics,sociology,Shryock,Siegel,1
Benjamin Greenberg,Henry S. Shryock Jr.,1,7,sociology,statistics,,Shryock,1
George J. Stolnitz,Norman B. Ryder,2,2,demography,demography,Stolnitz,Ryder,1
Frank W. Notestein,Joseph S. Davis,10,2,statistics,economics,Notestein,,1
Joseph S. Davis,P. V. Cardon,2,1,economics,statistics,,,1
Donald J. Bogue,Warren S. Thompson,6,8,statistics,general,Bogue,Thompson,2
