source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Dianne F. Harrison,Isaac W. Eberstein,3,3,famplan,demography,,,2
Dianne F. Harrison,Isaac Eberstein,3,1,famplan,famplan,,,1
Dianne F. Harrison,Kara Riehman,3,1,famplan,famplan,,,1
Beverly Winikoff,Nguyen Thi Nhu Ngoc,8,2,general,famplan,,,1
Nguyen Thi Nhu Ngoc,Shelley Clark,2,4,famplan,demography,,,1
Charlotte Ellertson,Nguyen Thi Nhu Ngoc,10,2,famplan,famplan,,,2
Khong Ngoc Am,Nguyen Thi Nhu Ngoc,1,2,famplan,famplan,,,1
Do Trong Hieu,Nguyen Thi Nhu Ngoc,3,2,famplan,famplan,,,1
Batya Elul,Nguyen Thi Nhu Ngoc,1,2,famplan,famplan,,,1
Nguyen Thi Nhu Ngoc,Yukolsiri Surasrang,2,1,famplan,famplan,,,1
Ly Thai Loc,Nguyen Thi Nhu Ngoc,1,2,famplan,famplan,,,1
Renee Samara,Susheela Singh,2,20,famplan,famplan,,,2
Deirdre Wulf,Renee Samara,2,2,famplan,famplan,,,1
Renee Samara,Yvette P. Cuca,2,2,famplan,famplan,,,1
Dwayne Benjamin,Michael Baker,2,1,demography,economics,,,1
Dwayne Benjamin,Loren Brandt,2,1,demography,demography,,,1
Dwayne Benjamin,Scott Rozelle,2,3,demography,demography,,,1
Nafissatou Diop-Sidibé,Stan Becker,1,9,famplan,demography,,,1
C. Shannon Stokes,Parfait M. Eloundou-Enyegue,2,3,demography,demography,,,1
Gretchen T. Cornwell,Parfait M. Eloundou-Enyegue,1,3,demography,demography,,,1
Julie Davanzo,Parfait M. Eloundou-Enyegue,3,3,demography,demography,,,1
Gladys Martinez,Laura Duberstein Lindberg,1,5,famplan,demography,,,1
Freya L. Sonenstein,Gladys Martinez,3,1,famplan,famplan,,,1
Gladys Martinez,Leighton Ku,1,4,famplan,famplan,,,1
Lingxin Hao,Yukio Kawano,8,1,sociology,demography,,,1
Charles Hirschman,Nguyen Huu Minh,9,1,demography,demography,Hirschman,,1
Jeffrey D. Morenoff,Robert J. Sampson,3,4,general,general,,,2
Felton Earls,Robert J. Sampson,3,4,general,general,,,2
John H. Laub,Robert J. Sampson,1,4,sociology,general,,,1
Robert J. Sampson,Stephen W. Raudenbush,4,1,general,general,,,1
Gerard Calot,Tomas Frejka,1,3,demography,demography,,,1
John A. Ross,Tomas Frejka,8,3,demography,demography,,,1
Francesco Billari,Tomas Frejka,1,3,demography,demography,,,1
John Hobcraft,Tomas Frejka,4,3,demography,demography,,,1
Miloslav Macura,Tomas Frejka,1,3,demography,demography,,,1
Dirk J. Van De Kaa,Tomas Frejka,3,3,demography,demography,,,1
Jacqueline Darroch Forrest,Kathryn Kost,1,3,famplan,famplan,,,1
David J. Landry,Kathryn Kost,3,3,famplan,famplan,,,1
Jacqueline E. Darroch,Kathryn Kost,13,3,famplan,famplan,,,1
Kathryn Kost,Stanley K. Henshaw,3,11,famplan,famplan,,,1
Marlina Lacuesta,Saumya Ramarao,2,3,famplan,famplan,,,2
Marilou Costello,Marlina Lacuesta,2,2,famplan,famplan,,,2
Blesilda Pangolibay,Marlina Lacuesta,1,2,famplan,famplan,,,1
Heidi Jones,Marlina Lacuesta,5,2,famplan,famplan,,,1
Anrudh Jain,Marlina Lacuesta,6,2,famplan,famplan,,,1
James Lubitz,Vicki A. Freedman,1,2,demography,demography,,,1
Eileen Crimmins,James Lubitz,1,1,demography,demography,,,1
James Lubitz,Robert F. Schoeni,1,4,demography,demography,,,1
Brenda C. Spillman,James Lubitz,1,1,demography,demography,,,1
Hakan Aykan,James Lubitz,1,1,demography,demography,,,1
Ellen Kramarow,James Lubitz,1,1,demography,demography,,,1
James Lubitz,Kenneth Land,1,1,demography,demography,,,1
James Lubitz,Kenneth Manton,1,1,demography,demography,,,1
James Lubitz,Linda G. Martin,1,3,demography,demography,,,1
Diane Shinberg,James Lubitz,1,1,demography,demography,,,1
James Lubitz,Timothy Waidmann,1,1,demography,demography,,,1
Akinrinola Bankole,Charles F. Westoff,10,8,demography,demography,,Westoff,3
Charles F. Westoff,German Rodriguez,8,2,demography,demography,Westoff,,1
Charles F. Westoff,Thomas J. Espenshade,8,12,demography,sociology,Westoff,,1
Charles F. Westoff,Juan Carlos Guzman,8,1,demography,demography,Westoff,,1
Charles F. Westoff,John Bongaarts,8,21,demography,famplan,Westoff,,1
Charles F. Westoff,Sian L. Curtis,8,5,demography,demography,Westoff,,1
Charles F. Westoff,Hantamalala Rafalimanana,8,1,demography,famplan,Westoff,,1
Frederick O. Lorenz,K. A. S. Wickrama,1,2,demography,demography,,,1
Frederick O. Lorenz,Lora Ebert Wallace,1,1,demography,demography,,,1
Frederick O. Lorenz,Laknath Peiris,1,1,demography,demography,,,1
Frederick O. Lorenz,Rand D. Conger,1,2,demography,demography,,,1
Frederick O. Lorenz,Glen H. Elder Jr.,1,3,demography,demography,,,1
Miguel N. Rivera,Thomas J. Espenshade,1,12,demography,sociology,,,1
Robert D. Retherford,Satomi Sakamoto,6,1,eugenics,demography,,,1
Naohiro Ogawa,Satomi Sakamoto,4,1,economics,demography,,,1
Amson Sibanda,Tukufu Zuberi,3,3,demography,general,,,1
Amson Sibanda,Zewdu Woubalem,3,2,demography,eugenics,,,1
Amson Sibanda,Dennis P. Hogan,3,6,demography,sociology,,,1
Amson Sibanda,David P. Lindstrom,3,8,demography,famplan,,,1
Cynthia Stanton,Noureddine Abderrahim,1,1,famplan,famplan,,,1
Kenneth Hill,Noureddine Abderrahim,5,1,famplan,famplan,,,1
F. Allan Hubbell,Leo R. Chavez,1,1,demography,demography,,,1
F. Allan Hubbell,Shiraz I. Mishra,1,1,demography,demography,,,1
F. Allan Hubbell,R. Burciaga Valdez,1,2,demography,demography,,,1
Alex C. Ezeh,Laurie F. Derose,1,3,famplan,famplan,,,1
Alex C. Ezeh,F. Nii-Amoo Dodoo,1,7,famplan,famplan,,,1
Alex C. Ezeh,Tom O. Owuor,1,1,famplan,famplan,,,1
Christopher Elias,Phan Thi Lien,2,1,famplan,famplan,,,1
Nguyen Thi Loi,Phan Thi Lien,1,1,famplan,famplan,,,1
Bui Thi Chi,Phan Thi Lien,1,1,famplan,famplan,,,1
Nguyen Hua Phuc,Phan Thi Lien,1,1,famplan,famplan,,,1
Michelle Gardner,Phan Thi Lien,1,1,famplan,famplan,,,1
Florina Serbanescu,Paul Stupp,1,1,famplan,famplan,,,1
Leo Morris,Paul Stupp,3,1,famplan,famplan,,,1
Alin Stanescu,Paul Stupp,1,1,famplan,famplan,,,1
Charles Hirschman,Yih-Jin Young,9,1,demography,demography,Hirschman,,1
Albert I. Hermalin,Angelique Chan,4,2,famplan,general,Hermalin,,1
Albert I. Hermalin,Mary Beth Ofstedal,4,3,famplan,general,Hermalin,,1
Albert I. Hermalin,Zachary Zimmer,4,3,famplan,demography,Hermalin,,1
Albert I. Hermalin,Xian Liu,4,1,famplan,demography,Hermalin,,1
Albert I. Hermalin,Yi-Li Chuang,4,1,famplan,demography,Hermalin,,1
Albert I. Hermalin,Li-Shou Yang,4,1,famplan,demography,Hermalin,,1
Albert I. Hermalin,Barbara Entwisle,4,8,famplan,famplan,Hermalin,,1
Albert I. Hermalin,Zeinab Khadr,4,1,famplan,famplan,Hermalin,,1
Jessica Gordon Nembhard,William Darity Jr.,1,2,economics,economics,,,1
Beverly Winikoff,Nancy L. Sloan,8,2,general,famplan,,,2
Fariyal F. Fikree,Nancy L. Sloan,3,2,famplan,famplan,,,1
Nancy L. Sloan,Nicole Haberland,2,1,famplan,famplan,,,1
Christa Coggins,Nancy L. Sloan,1,2,famplan,famplan,,,1
Christopher Elias,Nancy L. Sloan,2,2,famplan,famplan,,,1
Nicholas A. Christakis,Theodore J. Iwashyna,2,2,demography,demography,,,2
James X. Zhang,Nicholas A. Christakis,2,2,demography,demography,,,2
Diane S. Lauderdale,Nicholas A. Christakis,5,2,demography,demography,,,2
Carol Jagger,Jean-Marie Robine,1,5,eugenics,eugenics,,,1
Carol Jagger,Isabelle Romieu,1,1,eugenics,eugenics,,,1
Andreas Wienke,Paul Lichtenstein,1,1,eugenics,eugenics,,,1
Anatoli I. Yashin,Paul Lichtenstein,3,1,demography,eugenics,,,1
David J. Landry,Jacqueline E. Darroch,3,13,famplan,famplan,,,3
David J. Landry,Selene Oslak,3,2,famplan,famplan,,,2
David J. Landry,Kathryn Kost,3,3,famplan,famplan,,,1
John Knodel,Rossarin Soottipong Gray,10,1,famplan,demography,,,1
Porntip Sriwatcharin,Rossarin Soottipong Gray,1,1,demography,demography,,,1
Rossarin Soottipong Gray,Sara Peracca,1,1,demography,demography,,,1
John Knodel,Phan Thuc Anh,10,2,famplan,famplan,,,1
John Knodel,Truong Viet Dung,10,1,famplan,famplan,,,1
Dao Xuan Vinh,John Knodel,1,10,famplan,famplan,,,1
Anthony Pramualratana,John Knodel,1,10,famplan,famplan,,,1
John Knodel,Truong Si Anh,10,2,famplan,demography,,,2
David Lam,John Knodel,1,10,demography,famplan,,,1
Jed Friedman,John Knodel,2,10,demography,famplan,,,2
Gavin W. Jones,John Knodel,3,10,demography,famplan,,,1
John Knodel,Mary Beth Ofstedal,10,3,famplan,general,,,1
Bui The Cuong,John Knodel,1,10,demography,famplan,,,1
John Knodel,Rossarin Soottipong Gray,10,1,famplan,demography,,,1
John Knodel,Porntip Sriwatcharin,10,1,famplan,demography,,,1
John Knodel,Sara Peracca,10,1,famplan,demography,,,1
John Knodel,Vipan Prachuabmoh Ruffolo,10,1,famplan,famplan,,,1
John Knodel,Pakamas Ratanalangkarn,10,1,famplan,famplan,,,1
John Knodel,Kua Wongboonsin,10,1,famplan,famplan,,,1
John Knodel,Nguyen Van Phai,10,1,famplan,famplan,,,1
John Knodel,Mai Van Cam,10,1,famplan,famplan,,,1
Hoang Xuyen,John Knodel,1,10,famplan,famplan,,,1
Leighton Ku,Scott Boggess,4,2,famplan,famplan,,,1
Freya L. Sonenstein,Scott Boggess,3,2,famplan,famplan,,,1
Laura D. Lindberg,Scott Boggess,1,2,famplan,famplan,,,1
Carolyn H. Bradner,Scott Boggess,2,2,famplan,famplan,,,1
Joseph H. Pleck,Scott Boggess,1,2,famplan,famplan,,,1
Joseph J. Murphy,Scott Boggess,1,2,famplan,famplan,,,1
Linda Lacey,Victoria Adeyemi,1,1,famplan,famplan,,,1
Alfred Adewuyi,Victoria Adeyemi,2,1,famplan,famplan,,,1
Jennifer Van Hook,Susan L. Brown,6,3,demography,demography,,,1
Maxwell Ndigume Kwenda,Susan L. Brown,1,3,demography,demography,,,1
Alan Booth,Susan L. Brown,4,3,demography,demography,,,1
Hwa Young Lee,Zenaida R. Ravaneral,1,1,general,general,,,1
Fernando Rajulton,Hwa Young Lee,2,1,general,general,,,1
Byung-Yup Cho,Hwa Young Lee,1,1,general,general,,,1
Yi-Li Chuang,Zachary Zimmer,1,3,demography,demography,,,1
Xian Liu,Yi-Li Chuang,1,1,demography,demography,,,1
Albert I. Hermalin,Yi-Li Chuang,4,1,famplan,demography,Hermalin,,1
Gary R. Lee,Padma Srinivasan,2,1,demography,demography,,,1
Robert J. Magnani,Stacy W. Mcdonald,10,1,demography,famplan,,,1
Jane T. Bertrand,Stacy W. Mcdonald,5,1,famplan,famplan,,,1
Bakutuvwidi Makani,Stacy W. Mcdonald,1,1,famplan,famplan,,,1
Karen Hardee,Michele T. Villinski,6,1,famplan,famplan,,,1
Maureen Clyde,Michele T. Villinski,1,1,famplan,famplan,,,1
Michele T. Villinski,Olivia P. Mcdonald,1,1,famplan,famplan,,,1
Michele T. Villinski,Wilma Bailey,1,1,famplan,famplan,,,1
Jayanti Tuladhar,Jeanne Noble,2,1,famplan,famplan,,,1
Jeanne Noble,Peter J. Donaldson,1,5,famplan,demography,,,1
Irina Alekseevna Zhirova,Olga Grigorievna Frolova,1,1,famplan,famplan,,,1
Irina Alekseevna Zhirova,Tatiana Mikhailovna Astakhova,1,1,famplan,famplan,,,1
Evert Ketting,Irina Alekseevna Zhirova,2,1,famplan,famplan,,,1
Moshe Semyonov,Rebeca Raijman,4,3,sociology,demography,,,1
Marta Tienda,Rebeca Raijman,6,3,sociology,demography,Tienda,,1
Adriana Kemp,Rebeca Raijman,1,3,demography,demography,,,1
Grace Kao,William Kandel,2,3,demography,sociology,,,1
Erik Beekink,Frans Van Poppel,1,10,history,demography,,,1
Aart C. Liefbroer,Erik Beekink,8,1,history,history,,,1
Brian Karl Finch,Reanne Frank,3,5,demography,demography,,,1
Brian Karl Finch,William A. Vega,3,1,demography,demography,,,1
Brian Karl Finch,Jacqueline L. Angel,3,1,demography,demography,,,1
Brian Karl Finch,Cynthia J. Buckley,3,1,demography,demography,,,1
Anne Terborgh,Jane T. Bertrand,1,5,famplan,famplan,,,1
James E. Rosen,Jane T. Bertrand,1,5,famplan,famplan,,,1
Jane T. Bertrand,Roberto Santiso Galvez,5,1,famplan,famplan,,,1
Jane T. Bertrand,Willy Terceros,5,1,famplan,famplan,,,1
Jane T. Bertrand,Sheana E. Bull,5,1,famplan,famplan,,,1
Jane T. Bertrand,Ruth E. Bessinger,5,1,famplan,famplan,,,1
Eric Seiber,Jane T. Bertrand,1,5,famplan,famplan,,,1
Gabriela Escudero,Jane T. Bertrand,1,5,famplan,famplan,,,1
Jane T. Bertrand,Robert J. Magnani,5,10,famplan,demography,,,2
Bakutuvwidi Makani,Jane T. Bertrand,1,5,famplan,famplan,,,1
Jane T. Bertrand,Stacy W. Mcdonald,5,1,famplan,famplan,,,1
Jane T. Bertrand,Karen Hardee,5,6,famplan,famplan,,,1
Jane T. Bertrand,Marcia A. Angle,5,1,famplan,famplan,,,1
Beverly Winikoff,Du Ming-Kun,8,1,general,famplan,,,1
Du Ming-Kun,Irving Sivin,1,3,famplan,famplan,,,1
Du Ming-Kun,Kurus J. Coyaji,1,1,famplan,famplan,,,1
Du Ming-Kun,Evelio Cabezas,1,1,famplan,famplan,,,1
Du Ming-Kun,Xiao Bilian,1,2,famplan,famplan,,,1
Du Ming-Kun,Gu Sujuan,1,1,famplan,famplan,,,1
Du Ming-Kun,Usha R. Krishna,1,1,famplan,famplan,,,1
Andrea Eschen,Du Ming-Kun,1,1,famplan,famplan,,,1
Charlotte Ellertson,Du Ming-Kun,10,1,famplan,famplan,,,1
Ronald Lee,Timothy Miller,12,3,economics,economics,Lee,,3
Ronald Lee,Shripad Tuljapurkar,12,5,economics,statistics,Lee,,3
Michael Anderson,Ronald Lee,3,12,demography,economics,,Lee,1
Ronald Lee,S. Jay Olshansky,12,7,economics,general,Lee,,1
Bruce A. Carnes,Ronald Lee,6,12,general,economics,,Lee,1
Aline DéSesquelles,Ronald Lee,2,12,general,economics,,Lee,1
Joshua R. Goldstein,Ronald Lee,7,12,sociology,economics,,Lee,1
Andrew Mason,Ronald Lee,2,12,demography,economics,,Lee,1
John E. Anderson,Robert Brackbill,2,1,famplan,famplan,,,1
Robert Brackbill,William D. Mosher,1,5,famplan,famplan,,,1
Robert M. Adelman,Stewart E. Tolnay,2,8,sociology,demography,,,2
Kyle D. Crowder,Robert M. Adelman,14,2,demography,sociology,,,2
David J. Lunn,Liz Middleton,1,1,demography,demography,,,1
Liz Middleton,Stephen N. Simpson,1,1,demography,demography,,,1
Ian Diamond,Liz Middleton,9,1,demography,demography,,,1
Dale Huntington,Laila Nawar,4,3,famplan,famplan,,,3
Dale Huntington,Ezzeldin Osman Hassan,4,2,famplan,famplan,,,2
Dale Huntington,Hala Youssef,4,1,famplan,famplan,,,1
Dale Huntington,Nahla Abdel-Tawab,4,1,famplan,famplan,,,1
Dale Huntington,Nabil Attallah,4,1,famplan,famplan,,,1
Dale Huntington,Nahid Toubia,4,1,famplan,famplan,,,1
Dale Huntington,Mohamed Naguib,4,1,famplan,famplan,,,1
Barbara Mensch,Dale Huntington,3,4,famplan,famplan,,,1
Dale Huntington,Vincent C. Miller,4,1,famplan,famplan,,,1
Kermyt G. Anderson,Sandra L. Hofferth,1,6,demography,famplan,,,1
E. A. Hammel,Kenneth W. Wachter,4,6,demography,general,,,2
John E. Knodel,Kenneth W. Wachter,1,6,demography,general,,,1
Kenneth W. Wachter,Mark Vanlandingham,6,3,general,famplan,,,1
Kenneth W. Wachter,Samuli Helle,6,1,general,general,,,1
Kenneth W. Wachter,Virpi Lummaa,6,1,general,general,,,1
Jukka Jokela,Kenneth W. Wachter,1,6,general,general,,,1
Harry Cross,Karen Hardee,1,6,famplan,famplan,,,1
Harry Cross,Kokila Agarwal,1,1,famplan,famplan,,,1
Harry Cross,Nancy Luke,1,3,famplan,demography,,,1
Ellen Wilson,Harry Cross,1,1,famplan,famplan,,,1
Harry Cross,Margaret Pendzich,1,1,famplan,famplan,,,1
Harry Cross,Marguerite Farrell,1,1,famplan,famplan,,,1
Abraham Hodgson,Elizabeth F. Jackson,1,2,famplan,famplan,,,1
Abraham Hodgson,Patricia Akweongo,1,3,famplan,famplan,,,1
Abraham Hodgson,Evelyn Sakeah,1,1,famplan,famplan,,,1
Abraham Hodgson,Rofina Asuru,1,1,famplan,famplan,,,1
Abraham Hodgson,James F. Phillips,1,11,famplan,demography,,,1
Alan Gray,Jamil H. Chowdhury,1,1,famplan,famplan,,,1
Bruce Caldwell,Jamil H. Chowdhury,4,1,demography,famplan,,,1
Ahmed Al-Sabir,Jamil H. Chowdhury,1,1,famplan,famplan,,,1
Inge Hutter,Sabu S. Padmadas,1,2,famplan,famplan,,,1
Frans Willekens,Sabu S. Padmadas,2,2,eugenics,famplan,,,1
Francis Zavier,Sabu S. Padmadas,1,2,famplan,famplan,,,1
Altaf Hossain,Susheela Singh,1,20,famplan,famplan,,,1
Altaf Hossain,Josefina V. Cabigon,1,1,famplan,famplan,,,1
Altaf Hossain,Haidary Kamal,1,1,famplan,famplan,,,1
Altaf Hossain,Aurora E. Perez,1,4,famplan,famplan,,,1
Melissa M. Adams,Patricia M. Dietz,1,1,famplan,famplan,,,1
Alison M. Spitz,Patricia M. Dietz,1,1,famplan,famplan,,,1
Leo Morris,Patricia M. Dietz,3,1,famplan,famplan,,,1
Christopher H. Johnson,Patricia M. Dietz,1,1,famplan,famplan,,,1
Jeffrey D. Morenoff,Robert J. Sampson,3,4,general,general,,,2
Felton Earls,Jeffrey D. Morenoff,3,3,general,general,,,1
Jeffrey D. Morenoff,Marta Tienda,3,6,general,sociology,,Tienda,1
Albert I. Hermalin,Li-Shou Yang,4,1,famplan,demography,Hermalin,,1
Harriet B. Presser,Maitreyi Bordia Das,5,1,famplan,eugenics,Presser,,1
Alan Booth,David R. Johnson,4,3,demography,demography,,,2
Alan Booth,Ann Branaman,4,1,demography,demography,,,1
Alan Booth,Alan Sica,4,1,demography,demography,,,1
Alan Booth,Susan L. Brown,4,3,demography,demography,,,1
Alan Booth,Paul R. Amato,4,2,demography,demography,,,1
Alan Booth,Stacy J. Rogers,4,2,demography,demography,,,1
Alan Booth,Karen Carver,4,2,demography,demography,,,1
Alan Booth,Douglas A. Granger,4,1,demography,demography,,,1
Alan De Brauw,J. Edward Taylor,1,1,economics,economics,,,1
Alan De Brauw,Scott Rozelle,1,3,economics,demography,,,1
Arland Thornton,William G. Axinn,8,12,sociology,sociology,Thornton,,3
Jay D. Teachman,William G. Axinn,4,12,sociology,sociology,,,1
Lisa D. Pearce,William G. Axinn,2,12,sociology,sociology,,,1
Jennifer S. Barber,William G. Axinn,8,12,sociology,sociology,,,6
Ann E. Biddlecom,William G. Axinn,7,12,demography,sociology,,,1
Ganesh P. Shivakoti,William G. Axinn,1,12,demography,sociology,,,1
Prem Bhandari,William G. Axinn,2,12,demography,sociology,,,1
Netra B. Chhetri,William G. Axinn,1,12,demography,sociology,,,1
Lynette F. Hoelter,William G. Axinn,1,12,demography,sociology,,,1
Dirgha J. Ghimire,William G. Axinn,1,12,demography,sociology,,,1
Jerry J. Maples,William G. Axinn,1,12,eugenics,sociology,,,1
Susan A. Murphy,William G. Axinn,1,12,eugenics,sociology,,,1
Karen Hardee,Olivia P. Mcdonald,6,1,famplan,famplan,,,1
Maureen Clyde,Olivia P. Mcdonald,1,1,famplan,famplan,,,1
Olivia P. Mcdonald,Wilma Bailey,1,1,famplan,famplan,,,1
Michele T. Villinski,Olivia P. Mcdonald,1,1,famplan,famplan,,,1
Edward J. Castronova,Gert G. Wagner,1,2,demography,demography,,,1
Gert G. Wagner,Hilke Kayser,2,1,demography,demography,,,1
Gert G. Wagner,Joachim R. Frick,2,2,demography,demography,,,1
Gert G. Wagner,James C. Witte,2,1,demography,demography,,,1
Ewa Tabeau,Peter Ekamper,2,1,eugenics,demography,,,1
Corina Huisman,Peter Ekamper,1,1,demography,demography,,,1
Alinda Bosch,Peter Ekamper,1,1,demography,demography,,,1
Alan Debrauw,Scott Rozelle,1,3,economics,demography,,,1
Alan Debrauw,J. Edward Taylor,1,7,economics,demography,,,1
Julie Davanzo,Richard W. Johnson,3,1,demography,demography,,,1
J. Edward Taylor,JoaquíN Arango,7,2,demography,demography,,,2
Graeme Hugo,JoaquíN Arango,7,2,geography,demography,,,2
Ali Kouaouci,JoaquíN Arango,2,2,demography,demography,,,2
Douglas S. Massey,JoaquíN Arango,24,2,sociology,demography,Massey,,2
Adela Pellegrino,JoaquíN Arango,2,2,demography,demography,,,2
Aaron Gullickson,E. A. Hammel,1,4,demography,demography,,,1
Yiu Por Chen,Zai Liang,1,8,economics,economics,,,1
Beverly Winikoff,Usha R. Krishna,8,1,general,famplan,,,1
Irving Sivin,Usha R. Krishna,3,1,famplan,famplan,,,1
Kurus J. Coyaji,Usha R. Krishna,1,1,famplan,famplan,,,1
Evelio Cabezas,Usha R. Krishna,1,1,famplan,famplan,,,1
Usha R. Krishna,Xiao Bilian,1,2,famplan,famplan,,,1
Gu Sujuan,Usha R. Krishna,1,1,famplan,famplan,,,1
Du Ming-Kun,Usha R. Krishna,1,1,famplan,famplan,,,1
Andrea Eschen,Usha R. Krishna,1,1,famplan,famplan,,,1
Charlotte Ellertson,Usha R. Krishna,10,1,famplan,famplan,,,1
John A. Ross,William L. Winfrey,8,2,demography,famplan,,,2
Lynn White,Naomi Lacy,4,1,demography,demography,,,1
Lynn White,Stacy J. Rogers,4,2,demography,demography,,,1
Julia Mcquillan,Lynn White,1,4,demography,demography,,,1
Arthur L. Greil,Lynn White,1,4,demography,demography,,,1
Lynn White,Mary Casey Jacob,4,1,demography,demography,,,1
K. Navaneetham,P. N. Mari Bhat,1,7,famplan,famplan,,,1
K. Navaneetham,S. Irudaya Rajan,1,2,famplan,demography,,,1
Bruce S. Mcewen,Teresa E. Seeman,1,2,general,general,,,1
Bruce S. Mcewen,John W. Rowe,1,1,general,general,,,1
Bruce S. Mcewen,Burton H. Singer,1,2,general,general,,,1
Rob Stephenson,Sajeda Amin,1,7,demography,famplan,,,1
Alaka Malwade Basu,Rob Stephenson,4,1,demography,demography,,,1
Herbert L. Smith,Tanya Koropeckyj-Cox,7,2,famplan,demography,,,1
S. Philip Morgan,Tanya Koropeckyj-Cox,19,2,sociology,demography,Morgan,,1
Deanna L. Pagnini,S. Philip Morgan,3,19,sociology,sociology,,Morgan,1
Deanna L. Pagnini,Nancy E. Reichman,3,3,sociology,famplan,,,2
B. Lindsay Lowell,Richard Fry,4,1,economics,demography,,,1
Amy Ong Tsui,Deborah Barrett,4,1,famplan,sociology,,,1
Amy Ong Tsui,Anju Malhotra,4,4,famplan,famplan,,,1
Amy Ong Tsui,Kaushalendra K. Singh,4,1,famplan,famplan,,,1
Amy Ong Tsui,Shelah S. Bloom,4,2,famplan,demography,,,1
Eilidh Garrett,Simon Szreter,1,5,demography,demography,,,1
Robert A. Moffitt,Robert Reville,3,1,economics,demography,,,1
Anne E. Winkler,Robert A. Moffitt,1,3,demography,economics,,,1
Michael S. Rendall,Robert A. Moffitt,10,3,sociology,economics,,,1
Koray Tanfer,Susan Wierzbicki,3,1,famplan,famplan,,,1
