source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Arthur A. Campbell,Edwin D. Driver,10,7,famplan,demography,Campbell,,1
Edwin D. Driver,Norman B. Ryder,7,19,demography,famplan,,Ryder,2
Edwin D. Driver,Philip M. Hauser,7,16,demography,demography,,Hauser,4
Daniel C. Thompson,Edwin D. Driver,5,7,pubh,demography,,,3
Edwin D. Driver,Karl E. Taeuber,7,9,demography,sociology,,,1
Edwin D. Driver,James A. Jones,7,1,demography,pubh,,,1
Edwin D. Driver,Jessie S. Bernard,7,2,demography,pubh,,,2
Edwin D. Driver,Paul C. Glick,7,11,demography,pubh,,Glick,1
Edwin D. Driver,Frank W. Notestein,7,8,demography,demography,,Notestein,2
C. R. Lawrence,Edwin D. Driver,2,7,pubh,demography,,,1
Edwin D. Driver,W. Parker Mauldin,7,7,demography,pubh,,Mauldin,1
Donald J. Bogue,Edwin D. Driver,10,7,demography,demography,Bogue,,2
Edwin D. Driver,Elliot Liebow,7,5,demography,pubh,,,2
Edwin D. Driver,G. Franklin Edwards,7,4,demography,pubh,,,1
Edwin D. Driver,Joseph D. Beasley,7,10,demography,famplan,,,1
Daniel O. Price,Edwin D. Driver,7,7,demography,demography,,,2
Carl L. Harter,Edwin D. Driver,6,7,demography,demography,,,1
Edwin D. Driver,Paul B. Cornely,7,1,demography,pubh,,,1
C. V. Willie,Edwin D. Driver,3,7,pubh,demography,,,2
Edwin D. Driver,Karl A. Smith,7,4,demography,pubh,,,1
Edwin D. Driver,Preston Valien,7,4,demography,pubh,,,1
Edwin D. Driver,Reynolds Farley,7,14,demography,demography,,Farley,1
Edwin D. Driver,Paul R. Williams,7,2,demography,pubh,,,1
Edwin D. Driver,Harriet B. Presser,7,7,demography,pubh,,Presser,1
Charles B. Arnold,Edwin D. Driver,3,7,famplan,demography,,,1
Frederick S. Jaffe,Joy G. Dryfoos,17,7,general,famplan,,,3
George Varky,Joy G. Dryfoos,1,7,famplan,famplan,,,1
Joy G. Dryfoos,Marsha Corey,7,2,famplan,famplan,,,1
Daniel R. Weintraub,Joy G. Dryfoos,2,7,famplan,famplan,,,1
Jean P. Cobb,Joy G. Dryfoos,1,7,famplan,famplan,,,1
Carita Jo Bernsohn,Joy G. Dryfoos,1,7,famplan,famplan,,,1
Edith Fein,Judith S. Weis,1,1,general,general,,,1
Edgar R. Chasteen,Edith Fein,1,1,general,general,,,1
Edith Fein,Frederick S. Jaffe,1,17,general,general,,,1
Allan G. Rosenfield,Somsak Varakamin,7,2,famplan,famplan,,,2
Chitt Hemachudha,Somsak Varakamin,2,2,famplan,famplan,,,2
Somsak Varakamin,Winich Asavasena,2,4,famplan,famplan,,,2
Gavin Jones,Somsak Varakamin,4,2,demography,famplan,,,1
J. Oscar Alers,Somsak Varakamin,3,2,demography,famplan,,,1
Alvaro Lopez,Ansley J. Coale,4,12,demography,pubh,,Coale,1
Alvaro Lopez,Salvador Diaz,4,1,demography,pubh,,,1
Alvaro Lopez,H. Jack Geiger,4,1,demography,pubh,,,1
A. Peter Ruderman,Alvaro Lopez,1,4,pubh,demography,,,1
Alvaro Lopez,Reginaldo Zaccara De Campos,4,1,demography,pubh,,,1
Gail A. Shea,Miriam OrdoñEz,1,1,famplan,famplan,,,1
Miriam OrdoñEz,Thomas K. Burch,1,6,famplan,famplan,,,1
Gustavo Perez,Miriam OrdoñEz,1,1,famplan,famplan,,,1
Joseph Van Kemanade,Miriam OrdoñEz,1,1,famplan,famplan,,,1
Jan Hutjes,Miriam OrdoñEz,1,1,famplan,famplan,,,1
Andre E. Hellegers,Miriam OrdoñEz,1,1,famplan,famplan,,,1
Mary L. New,Robert G. Potter,1,18,pubh,famplan,,,1
John B. Wyon,Mary L. New,3,1,pubh,pubh,,,1
John E. Gordon,Mary L. New,3,1,pubh,pubh,,,1
Dorothy Nortman,W. Parker Mauldin,3,7,economics,pubh,,Mauldin,1
Frederick F. Stephen,W. Parker Mauldin,1,7,famplan,pubh,,Mauldin,1
Gavin W. Jones,W. Parker Mauldin,1,7,famplan,pubh,,Mauldin,1
Robert J. Lapham,W. Parker Mauldin,4,7,demography,pubh,,Mauldin,1
Karl E. Taeuber,W. Parker Mauldin,9,7,sociology,pubh,,Mauldin,1
James A. Jones,W. Parker Mauldin,1,7,pubh,pubh,,Mauldin,1
Jessie S. Bernard,W. Parker Mauldin,2,7,pubh,pubh,,Mauldin,1
Paul C. Glick,W. Parker Mauldin,11,7,pubh,pubh,Glick,Mauldin,1
Frank W. Notestein,W. Parker Mauldin,8,7,demography,pubh,Notestein,Mauldin,1
C. R. Lawrence,W. Parker Mauldin,2,7,pubh,pubh,,Mauldin,1
Donald J. Bogue,W. Parker Mauldin,10,7,demography,pubh,Bogue,Mauldin,1
Elliot Liebow,W. Parker Mauldin,5,7,pubh,pubh,,Mauldin,1
Philip M. Hauser,W. Parker Mauldin,16,7,demography,pubh,Hauser,Mauldin,1
Edwin D. Driver,W. Parker Mauldin,7,7,demography,pubh,,Mauldin,1
G. Franklin Edwards,W. Parker Mauldin,4,7,pubh,pubh,,Mauldin,1
Joseph D. Beasley,W. Parker Mauldin,10,7,famplan,pubh,,Mauldin,1
Daniel O. Price,W. Parker Mauldin,7,7,demography,pubh,,Mauldin,1
James E. Teele,W. Parker Mauldin,4,7,pubh,pubh,,Mauldin,1
C. R. Lawrence,Karl E. Taeuber,2,9,pubh,sociology,,,2
C. R. Lawrence,James A. Jones,2,1,pubh,pubh,,,1
C. R. Lawrence,Jessie S. Bernard,2,2,pubh,pubh,,,1
C. R. Lawrence,Paul C. Glick,2,11,pubh,pubh,,Glick,1
C. R. Lawrence,Frank W. Notestein,2,8,pubh,demography,,Notestein,2
C. R. Lawrence,W. Parker Mauldin,2,7,pubh,pubh,,Mauldin,1
C. R. Lawrence,Donald J. Bogue,2,10,pubh,demography,,Bogue,1
C. R. Lawrence,Elliot Liebow,2,5,pubh,pubh,,,2
C. R. Lawrence,Philip M. Hauser,2,16,pubh,demography,,Hauser,2
C. R. Lawrence,Edwin D. Driver,2,7,pubh,demography,,,1
C. R. Lawrence,G. Franklin Edwards,2,4,pubh,pubh,,,2
C. R. Lawrence,Joseph D. Beasley,2,10,pubh,famplan,,,1
C. R. Lawrence,Daniel O. Price,2,7,pubh,demography,,,2
C. R. Lawrence,James E. Teele,2,4,pubh,pubh,,,2
C. R. Lawrence,Joseph S. Himes,2,2,pubh,pubh,,,1
C. R. Lawrence,Preston Valien,2,4,pubh,pubh,,,1
C. R. Lawrence,Daniel C. Thompson,2,5,pubh,pubh,,,1
C. R. Lawrence,Reynolds Farley,2,14,pubh,demography,,Farley,1
C. R. Lawrence,Irene B. Taeuber,2,12,pubh,pubh,,Taeuber,1
Charles F. Westoff,Norman B. Ryder,24,19,famplan,famplan,Westoff,Ryder,10
Charles F. Westoff,Raymond H. Potvin,24,2,famplan,demography,Westoff,,2
Carmen Miro,Charles F. Westoff,5,24,demography,famplan,,Westoff,1
Charles F. Westoff,Ferdinand Rath,24,1,famplan,pubh,Westoff,,1
Arthur A. Campbell,Charles F. Westoff,10,24,famplan,famplan,Campbell,Westoff,2
Charles F. Westoff,G. PéRez,24,1,famplan,pubh,Westoff,,1
Charles F. Westoff,J. Mayone Stycos,24,13,famplan,pubh,Westoff,,2
Charles F. Westoff,Mindel C. Sheps,24,14,famplan,demography,Westoff,,1
Charles F. Westoff,F. E. Linder,24,2,famplan,pubh,Westoff,,1
Charles F. Westoff,M-F. Hall,24,2,famplan,pubh,Westoff,,1
Charles F. Westoff,Ronald Freedman,24,33,famplan,famplan,Westoff,Freedman,1
Charles F. Westoff,T. K. Burch,24,2,famplan,pubh,Westoff,,1
Charles F. Westoff,Donald J. Bogue,24,10,famplan,demography,Westoff,Bogue,1
A. H. Neiva,Charles F. Westoff,3,24,pubh,famplan,,Westoff,1
Charles F. Westoff,M-FrançOise Hall,24,2,famplan,pubh,Westoff,,1
Charles F. Westoff,Christopher Tietze,24,18,famplan,pubh,Westoff,,1
Charles F. Westoff,Jose Donayre,24,1,famplan,pubh,Westoff,,1
Charles F. Westoff,Emily C. Moore,24,1,famplan,pubh,Westoff,,1
Charles F. Westoff,Larry Bumpass,24,8,famplan,general,Westoff,Bumpass,4
Charles F. Westoff,Ronald Rindfuss,24,2,famplan,demography,Westoff,Rindfuss,1
Charles F. Westoff,Ronald R. Rindfuss,24,1,famplan,general,Westoff,Rindfuss,1
Carl L. Harter,Charles F. Westoff,6,24,demography,famplan,,Westoff,1
C. V. Willie,Charles F. Westoff,3,24,pubh,famplan,,Westoff,1
Charles F. Westoff,Philip M. Hauser,24,16,famplan,demography,Westoff,Hauser,1
Charles F. Westoff,Elliot Liebow,24,5,famplan,pubh,Westoff,,1
Charles F. Westoff,Frank Lorimer,24,2,famplan,pubh,Westoff,Lorimer,1
Maria Davidson,Wilson H. Grabill,2,6,demography,demography,,,1
Dorothy Nortman,Dudley Kirk,3,5,economics,general,,Kirk,1
Arjun Adlakha,Dudley Kirk,2,5,demography,general,,Kirk,1
Ansley J. Coale,Dudley Kirk,12,5,pubh,general,Coale,Kirk,1
Dudley Kirk,Philip M. Hauser,5,16,general,demography,Kirk,Hauser,1
Dudley Kirk,Wilson H. Grabill,5,6,general,demography,Kirk,,1
James E. Teele,William M. Schmidt,4,1,pubh,pubh,,,1
Arthur A. Campbell,William M. Schmidt,10,1,famplan,pubh,Campbell,,1
Norman B. Ryder,William M. Schmidt,19,1,famplan,pubh,Ryder,,1
Philip M. Hauser,William M. Schmidt,16,1,demography,pubh,Hauser,,1
Daniel C. Thompson,William M. Schmidt,5,1,pubh,pubh,,,1
Edwin D. Driver,William M. Schmidt,7,1,demography,pubh,,,1
Allan G. Rosenfield,Sasichan Vimuktanon,7,1,famplan,famplan,,,1
Christopher Tietze,Sarah Lewit,18,10,pubh,demography,,,7
Sarah Lewit,Sidney H. Newman,10,1,demography,famplan,,,1
Mildred B. Beck,Sarah Lewit,1,10,famplan,demography,,,1
Carlos Ferrero,F. E. Linder,2,2,pubh,pubh,,,1
Carlos Ferrero,David L. Rabin,2,1,pubh,pubh,,,1
Carlos Ferrero,John Crawford,2,1,pubh,pubh,,,1
Carlos Ferrero,Dorothy Myer,2,1,pubh,pubh,,,1
Alan Ross,Carlos Ferrero,1,2,pubh,pubh,,,1
Carlos Ferrero,Elisabeth Schach,2,1,pubh,pubh,,,1
H. Jack Geiger,Salvador Diaz,1,1,pubh,pubh,,,1
Alvaro Lopez,H. Jack Geiger,4,1,demography,pubh,,,1
A. Peter Ruderman,H. Jack Geiger,1,1,pubh,pubh,,,1
H. Jack Geiger,Reginaldo Zaccara De Campos,1,1,pubh,pubh,,,1
Amos H. Hawley,Visid Prachuabmoh,2,4,demography,demography,Hawley,,1
John Knodel,Visid Prachuabmoh,9,4,famplan,demography,,,3
J. Oscar Alers,Visid Prachuabmoh,3,4,demography,demography,,,1
Lyle Saunders,Oscar Harkavy,2,5,demography,demography,,Harkavy,1
Anna L. Southam,Oscar Harkavy,1,5,demography,demography,,Harkavy,1
Frederick S. Jaffe,Oscar Harkavy,17,5,general,demography,,Harkavy,1
Oscar Harkavy,Samuel M. Wishik,5,1,demography,general,Harkavy,,1
John Maier,Oscar Harkavy,3,5,famplan,demography,,Harkavy,3
Hugh Carter,Paul C. Glick,1,11,demography,pubh,,Glick,1
Paul C. Glick,Robert Parke Jr.,11,2,pubh,demography,Glick,,2
Paul C. Glick,Walt Saveland,11,1,pubh,demography,Glick,,1
Arthur J. Norton,Paul C. Glick,3,11,demography,pubh,,Glick,2
Paul C. Glick,Preston Valien,11,4,pubh,pubh,Glick,,1
Irene B. Taeuber,Paul C. Glick,12,11,pubh,pubh,Taeuber,Glick,1
Daniel O. Price,Paul C. Glick,7,11,demography,pubh,,Glick,2
Paul C. Glick,Philip M. Hauser,11,16,pubh,demography,Glick,Hauser,2
Donald J. Bogue,Paul C. Glick,10,11,demography,pubh,Bogue,Glick,2
Joseph D. Beasley,Paul C. Glick,10,11,famplan,pubh,,Glick,2
Daniel C. Thompson,Paul C. Glick,5,11,pubh,pubh,,Glick,1
Paul C. Glick,Reynolds Farley,11,14,pubh,demography,Glick,Farley,1
Karl E. Taeuber,Paul C. Glick,9,11,sociology,pubh,,Glick,1
James A. Jones,Paul C. Glick,1,11,pubh,pubh,,Glick,1
Jessie S. Bernard,Paul C. Glick,2,11,pubh,pubh,,Glick,1
Frank W. Notestein,Paul C. Glick,8,11,demography,pubh,Notestein,Glick,1
C. R. Lawrence,Paul C. Glick,2,11,pubh,pubh,,Glick,1
Paul C. Glick,W. Parker Mauldin,11,7,pubh,pubh,Glick,Mauldin,1
Elliot Liebow,Paul C. Glick,5,11,pubh,pubh,,Glick,1
Edwin D. Driver,Paul C. Glick,7,11,demography,pubh,,Glick,1
G. Franklin Edwards,Paul C. Glick,4,11,pubh,pubh,,Glick,1
James E. Teele,Paul C. Glick,4,11,pubh,pubh,,Glick,1
Clyde V. Kiser,Paul C. Glick,7,11,pubh,pubh,Kiser,Glick,1
Dorothy G. Wiehl,Paul C. Glick,1,11,pubh,pubh,,Glick,1
Paul C. Glick,Wilson H. Grabill,11,6,pubh,demography,Glick,,1
Ann R. Sauls,Charles B. Arnold,1,3,famplan,famplan,,,1
Ann R. Sauls,Sylvain Fribourg,1,1,famplan,famplan,,,1
Ann R. Sauls,Millard B. Bethel,1,1,famplan,famplan,,,1
Albert I. Hermalin,Ronald Freedman,6,33,sociology,famplan,Hermalin,Freedman,2
Albert I. Hermalin,John Y. Takeshita,6,4,sociology,demography,Hermalin,,1
Albert I. Hermalin,Reynolds Farley,6,14,sociology,demography,Hermalin,Farley,2
Albert I. Hermalin,T. H. Sun,6,6,sociology,demography,Hermalin,,1
Paul R. Williams,Reynolds Farley,2,14,pubh,demography,,Farley,3
Norman B. Ryder,Paul R. Williams,19,2,famplan,pubh,Ryder,,1
Karl E. Taeuber,Paul R. Williams,9,2,sociology,pubh,,,1
Paul R. Williams,Philip M. Hauser,2,16,pubh,demography,,Hauser,2
Elliot Liebow,Paul R. Williams,5,2,pubh,pubh,,,2
G. Franklin Edwards,Paul R. Williams,4,2,pubh,pubh,,,1
Clyde V. Kiser,Paul R. Williams,7,2,pubh,pubh,Kiser,,1
Irene B. Taeuber,Paul R. Williams,12,2,pubh,pubh,Taeuber,,1
Daniel O. Price,Paul R. Williams,7,2,demography,pubh,,,1
Joseph D. Beasley,Paul R. Williams,10,2,famplan,pubh,,,1
Jessie S. Bernard,Paul R. Williams,2,2,pubh,pubh,,,1
Paul R. Williams,Preston Valien,2,4,pubh,pubh,,,1
Edwin D. Driver,Paul R. Williams,7,2,demography,pubh,,,1
Harriet B. Presser,Paul R. Williams,7,2,pubh,pubh,Presser,,1
James E. Teele,Paul R. Williams,4,2,pubh,pubh,,,1
Daniel C. Thompson,Paul R. Williams,5,2,pubh,pubh,,,1
C. V. Willie,Paul R. Williams,3,2,pubh,pubh,,,1
Charles B. Arnold,Paul R. Williams,3,2,famplan,pubh,,,1
Max W. Williams,Omer R. Galle,1,3,demography,demography,,,1
Roger Avery,Ronald Freedman,2,33,famplan,famplan,,Freedman,1
J. Y. Peng,Roger Avery,4,2,famplan,famplan,,,1
L. P. Chow,Roger Avery,10,2,famplan,famplan,,,1
Roger Avery,Silvia Pedraza,2,1,famplan,famplan,,,1
Carl F. Grindstaff,G. Edward Ebanks,1,2,demography,demography,,,1
John Y. Takeshita,Lois M. Verbrugge,4,1,demography,famplan,,,1
Lois M. Verbrugge,Tan Boon Ann,1,5,famplan,demography,,,1
Brian L. Pitcher,Evan T. Peterson,1,1,demography,demography,,,1
Evan T. Peterson,Phillip R. Kunz,1,3,demography,demography,,,1
Douglas Carnahan,Walter Gove,1,1,sociology,sociology,,,1
Omer R. Galle,Walter Gove,3,1,demography,sociology,,,1
Dhruva N. Nagnur,Edmund M. Murphy,1,2,demography,eugenics,,,1
Etienne Van De Walle,John Knodel,9,9,economics,famplan,Walle,,3
John Knodel,Pichit Pitaktepsombati,9,1,famplan,famplan,,,1
John Knodel,Visid Prachuabmoh,9,4,famplan,demography,,,3
J. Oscar Alers,John Knodel,3,9,demography,famplan,,,1
Edward Shorter,John Knodel,2,9,history,famplan,,,1
John A. Ross,Oliver D. Finnigan Iii,11,1,demography,famplan,,,1
Oliver D. Finnigan Iii,S.M. Keeny,1,1,famplan,famplan,,,1
George P. Cernada,Oliver D. Finnigan Iii,6,1,famplan,famplan,,,1
Lewis C. Frank Jr.,Myrna M. Weissman,1,1,general,general,,,1
Lewis C. Frank Jr.,Richard Reynolds,1,2,general,general,,,1
Lewis C. Frank Jr.,Willard Johnson,1,1,general,general,,,1
Lewis C. Frank Jr.,Ruth Barnhouse-Beuscher,1,1,general,general,,,1
Judith Blake,Lewis C. Frank Jr.,13,1,general,general,Blake,,1
Carmen Miro,J. Mayone Stycos,5,13,demography,pubh,,,1
Ferdinand Rath,J. Mayone Stycos,1,13,pubh,pubh,,,1
Arthur A. Campbell,J. Mayone Stycos,10,13,famplan,pubh,Campbell,,1
Charles F. Westoff,J. Mayone Stycos,24,13,famplan,pubh,Westoff,,2
G. PéRez,J. Mayone Stycos,1,13,pubh,pubh,,,1
J. Mayone Stycos,Mindel C. Sheps,13,14,pubh,demography,,,2
F. E. Linder,J. Mayone Stycos,2,13,pubh,pubh,,,1
J. Mayone Stycos,M-F. Hall,13,2,pubh,pubh,,,2
J. Mayone Stycos,Ronald Freedman,13,33,pubh,famplan,,Freedman,1
J. Mayone Stycos,T. K. Burch,13,2,pubh,pubh,,,1
Donald J. Bogue,J. Mayone Stycos,10,13,demography,pubh,Bogue,,2
A. H. Neiva,J. Mayone Stycos,3,13,pubh,pubh,,,1
J. Mayone Stycos,R. Delgado,13,1,pubh,pubh,,,1
J. Mayone Stycos,O. Mendoza,13,1,pubh,pubh,,,1
J. Mayone Stycos,R. O. Carleton,13,2,pubh,pubh,,,1
Everett S. Lee,J. Mayone Stycos,6,13,demography,pubh,Lee,,1
Christopher Tietze,J. Mayone Stycos,18,13,pubh,pubh,,,2
J. Arias,J. Mayone Stycos,3,13,pubh,pubh,,,1
F. Rath,J. Mayone Stycos,1,13,pubh,pubh,,,1
J. Mayone Stycos,R. Puffer,13,2,pubh,pubh,,,1
J. Mayone Stycos,M-FrançOise Hall,13,2,pubh,pubh,,,1
J. Mayone Stycos,Robert H. Weller,13,8,pubh,pubh,,,1
J. Mayone Stycos,Parker G. Marden,13,2,pubh,sociology,,,1
Elliot Liebow,Reynolds Farley,5,14,pubh,demography,,Farley,4
Elliot Liebow,Paul R. Williams,5,2,pubh,pubh,,,2
Elliot Liebow,Norman B. Ryder,5,19,pubh,famplan,,Ryder,2
Elliot Liebow,Karl E. Taeuber,5,9,pubh,sociology,,,3
Elliot Liebow,Philip M. Hauser,5,16,pubh,demography,,Hauser,5
Elliot Liebow,G. Franklin Edwards,5,4,pubh,pubh,,,3
Clyde V. Kiser,Elliot Liebow,7,5,pubh,pubh,Kiser,,1
Elliot Liebow,Irene B. Taeuber,5,12,pubh,pubh,,Taeuber,2
Daniel O. Price,Elliot Liebow,7,5,demography,pubh,,,3
Elliot Liebow,Joseph D. Beasley,5,10,pubh,famplan,,,2
Charles F. Westoff,Elliot Liebow,24,5,famplan,pubh,Westoff,,1
Carl L. Harter,Elliot Liebow,6,5,demography,pubh,,,1
C. V. Willie,Elliot Liebow,3,5,pubh,pubh,,,2
Arthur A. Campbell,Elliot Liebow,10,5,famplan,pubh,Campbell,,1
Elliot Liebow,James A. Jones,5,1,pubh,pubh,,,1
Elliot Liebow,Jessie S. Bernard,5,2,pubh,pubh,,,2
Elliot Liebow,Paul C. Glick,5,11,pubh,pubh,,Glick,1
Elliot Liebow,Frank W. Notestein,5,8,pubh,demography,,Notestein,2
C. R. Lawrence,Elliot Liebow,2,5,pubh,pubh,,,2
Elliot Liebow,W. Parker Mauldin,5,7,pubh,pubh,,Mauldin,1
Donald J. Bogue,Elliot Liebow,10,5,demography,pubh,Bogue,,1
Edwin D. Driver,Elliot Liebow,7,5,demography,pubh,,,2
Elliot Liebow,James E. Teele,5,4,pubh,pubh,,,3
Elliot Liebow,Joseph S. Himes,5,2,pubh,pubh,,,1
Elliot Liebow,Preston Valien,5,4,pubh,pubh,,,2
Daniel C. Thompson,Elliot Liebow,5,5,pubh,pubh,,,2
Elliot Liebow,Harriet B. Presser,5,7,pubh,pubh,,Presser,1
Charles B. Arnold,Elliot Liebow,3,5,famplan,pubh,,,1
Raymond W. Carlaw,Richard Reynolds,1,2,demography,general,,,1
Lawrence W. Green,Raymond W. Carlaw,2,1,demography,demography,,,1
N. I. Khan,Raymond W. Carlaw,1,1,demography,demography,,,1
Milton Diamond,Patricia G. Steinhoff,1,1,famplan,famplan,,,1
James A. Palmore,Patricia G. Steinhoff,6,1,famplan,famplan,,,1
Patricia G. Steinhoff,Roy G. Smith,1,1,famplan,famplan,,,1
Judith Blake,Prithwis Das Gupta,13,4,general,demography,Blake,,2
L. P. Chow,T. H. Liu,10,2,famplan,pubh,,,2
M. C. Chang,T. H. Liu,5,2,pubh,pubh,,,2
Donald W. Helbig,Habib R. Siddiqui,1,1,demography,demography,,,1
Habib R. Siddiqui,Samuel B. Hopkins,1,1,demography,demography,,,1
Habib R. Siddiqui,Paul A. Harper,1,3,demography,famplan,,,1
Habib R. Siddiqui,Rowland V. Rider,1,4,demography,demography,,,1
George Cernada,S. M. Keeny,1,4,famplan,famplan,,,1
George Cernada,John A. Ross,1,11,famplan,demography,,,1
Ann R. Sauls,Charles B. Arnold,1,3,famplan,famplan,,,1
Charles B. Arnold,Sylvain Fribourg,3,1,famplan,famplan,,,1
Charles B. Arnold,Millard B. Bethel,3,1,famplan,famplan,,,1
Charles B. Arnold,Joseph D. Beasley,3,10,famplan,famplan,,,1
Charles B. Arnold,Ralph F. Frankowski,3,3,famplan,famplan,,,1
Charles B. Arnold,Gwendolyn Z. Johnson,3,1,famplan,pubh,,,1
Charles B. Arnold,Joseph S. Himes,3,2,famplan,pubh,,,1
Charles B. Arnold,P. B. Cornely,3,1,famplan,pubh,,,1
Charles B. Arnold,G. Franklin Edwards,3,4,famplan,pubh,,,1
Charles B. Arnold,Preston Valien,3,4,famplan,pubh,,,2
Charles B. Arnold,Karl A. Smith,3,4,famplan,pubh,,,1
Charles B. Arnold,Elliot Liebow,3,5,famplan,pubh,,,1
Charles B. Arnold,Jessie S. Bernard,3,2,famplan,pubh,,,1
Charles B. Arnold,Philip M. Hauser,3,16,famplan,demography,,Hauser,1
Charles B. Arnold,Reynolds Farley,3,14,famplan,demography,,Farley,1
Charles B. Arnold,Edwin D. Driver,3,7,famplan,demography,,,1
Charles B. Arnold,Paul R. Williams,3,2,famplan,pubh,,,1
Charles B. Arnold,Harriet B. Presser,3,7,famplan,pubh,,Presser,1
Charles B. Arnold,James E. Teele,3,4,famplan,pubh,,,1
Charles B. Arnold,Daniel C. Thompson,3,5,famplan,pubh,,,1
C. V. Willie,Charles B. Arnold,3,3,pubh,famplan,,,1
Jae Mo Yang,Myung Ho Kim,1,1,demography,demography,,,1
Myung Ho Kim,Sook Bang,1,6,demography,demography,,,1
Man Gap Lee,Myung Ho Kim,1,1,demography,demography,,,1
M. Requena B.,Rolando Armijo,1,2,pubh,pubh,,,1
M. Requena B.,Tegualda Monreal,1,2,pubh,pubh,,,1
M. Requena B.,R. Puffer,1,2,pubh,pubh,,,1
